,smiles,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
379,C(CCl)Br,0.9826448195,-0.0076034311,-0.7581905127,-1.5137851238,0.0074866554,-1.7865655422
398,C(CBr)Cl,0.9826448195,-0.0076034311,-0.7581905127,-1.5137851238,0.0074866554,-1.7865655422
378,C(CCl)Cl,1.2612531968,0.10080228,-0.7307494879,-1.416495204,0.0262067467,-1.6356213093
399,C(CBr)Br,1.3050887669,0.1156400517,-0.7248216271,-1.5995824337,0.0252258927,-1.8914264441
2199,C(C(C(F)(Cl)Br)(Cl)(Br)Br)Br,2.3088073903,0.3633877039,-0.5648310184,-0.7527883053,-0.0560272187,-3.422055006
3989,C(C(C(Cl)(Cl)Br)Br)(Cl)(Br)Br,2.3088077072,0.3633877635,-0.5648310184,-0.7527883053,-0.0560272187,-3.422055006
1839,C(C(C(F)(Cl)Cl)(F)F)Br,2.5770520266,0.4111231863,-0.2986177206,-1.1291275024,-0.0524440855,-3.5555026531
3987,C(C(C(Cl)(Cl)Br)Br)(Cl)(Cl)Cl,2.5770520266,0.4111231863,-0.2986177206,-1.1291275024,-0.0524440855,-3.5555026531
1119,C(C(C(F)(F)Cl)(Cl)Br)Br,2.6240552143,0.4189729691,-0.0969184637,-0.9801098108,-0.0975121707,-3.3269672394
3983,C(C(C(Cl)(Cl)Br)Br)(F)(Cl)Cl,2.6240552143,0.4189729691,-0.0969184637,-0.9801098704,-0.0975121707,-3.3269672394
2019,C(C(C(F)(Cl)Br)(F)(F)F)Br,2.6779294753,0.4277991354,-0.4674758911,-0.8937017918,-0.0596856922,-3.5062315464
3988,C(C(C(Cl)(Cl)Br)Br)(Cl)(Cl)Br,2.6779298428,0.4277991951,-0.4674758315,-0.8937017322,-0.0596856922,-3.5062315464
358,C(CF)Cl,2.6840617709,0.4287925065,-0.6035429239,-1.2908672094,-0.0294859856,-1.6758238077
377,C(CCl)F,2.6840617709,0.4287925065,-0.6035429239,-1.2908672094,-0.0294859856,-1.6758238077
3985,C(C(C(Cl)(Cl)Br)Br)(F)(Br)Cl,2.8152257535,0.4495132267,-0.4377382398,-0.7724378705,-0.1152558774,-3.0829503536
1299,C(C(C(F)(F)Br)(F)(Cl)Br)Br,2.8152261399,0.4495132864,-0.437738359,-0.7724376917,-0.1152558774,-3.0829503536
1479,C(C(C(F)(F)Br)(F)Br)Br,2.8152261399,0.4495132864,-0.4377382398,-0.7724378109,-0.1152558774,-3.0829503536
3984,C(C(C(Cl)(Cl)Br)Br)(F)(Cl)Br,2.8152261399,0.4495132864,-0.437738359,-0.7724378109,-0.1152558774,-3.082950592
359,C(CF)Br,3.1752379607,0.501776278,-0.5529581308,-1.3704562187,-0.0200792402,-1.7109379768
397,C(CBr)F,3.1752379607,0.501776278,-0.5529581308,-1.3704562187,-0.0200792402,-1.7109379768
2379,C(C(C(F)(Cl)Br)Cl)Br,3.1764165414,0.501937449,-0.6099950671,-0.7882986665,-0.0698337406,-3.7590885162
3990,C(C(C(Cl)(Cl)Br)Br)(Br)(Br)Br,3.1764165414,0.501937449,-0.6099950075,-0.7882985473,-0.0698337406,-3.7590887547
2179,C(C(C(F)(Cl)Br)(Cl)(Cl)Br)Br,3.2466181872,0.5114312172,-0.6082883477,-0.746660471,-0.0261314958,-3.2292938232
3969,C(C(C(Cl)(Cl)Br)Cl)(Cl)(Br)Br,3.2466186328,0.5114312768,-0.6082883477,-0.746660471,-0.0261315554,-3.2292938232
2198,C(C(C(F)(Cl)Br)(Cl)(Br)Br)Cl,3.3121505636,0.5201100707,-0.6156836152,-0.7379423976,-0.0642245263,-3.269538641
3809,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Cl)(Br)Br,3.3121505636,0.5201100707,-0.6156836152,-0.7379423976,-0.0642245859,-3.2695388794
1999,C(C(C(F)(Cl)Cl)Br)Br,3.3981677536,0.5312448144,-0.5446978807,-0.9086014032,-0.0440276712,-3.3552925587
3968,C(C(C(Cl)(Cl)Br)Cl)(Cl)(Cl)Br,3.3981677536,0.5312448144,-0.5446978807,-0.9086012244,-0.0440276712,-3.3552925587
3119,C(C(C(F)(Br)Br)(Cl)Br)Br,3.4410195155,0.5366871357,-0.0128366388,-0.897288084,0.0018931767,-1.914853096
3835,C(C(C(Cl)(Cl)Br)(F)F)(Cl)Br,3.4410199877,0.5366871953,-0.0128366388,-0.897288084,0.0018933555,-1.914853096
1099,C(C(C(F)(F)Cl)(Cl)Cl)Br,3.5101978617,0.5453315973,-0.1504861712,-0.9468972683,-0.0705723614,-3.0420124531
3963,C(C(C(Cl)(Cl)Br)Cl)(F)(Cl)Cl,3.5101978617,0.5453315973,-0.1504861712,-0.9468972683,-0.070572421,-3.0420124531
1118,C(C(C(F)(F)Cl)(Cl)Br)Cl,3.6035718942,0.556733191,-0.1044850349,-1.0031509399,-0.1329821795,-3.2110824585
3803,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Cl)Cl,3.6035723888,0.5567332506,-0.1044850349,-1.0031509399,-0.1329821795,-3.2110824585
3139,C(C(C(F)(Br)Br)(Br)Br)Br,3.6044444238,0.5568383336,-0.1060501337,-0.7746692896,0.0772335082,-2.3307523727
3855,C(C(C(Cl)(Cl)Br)(F)Cl)(Cl)Br,3.6044449184,0.5568383932,-0.1060500145,-0.77466923,0.0772335082,-2.3307523727
3179,C(C(C(F)(Br)Br)Cl)Br,3.6773821527,0.565538764,-0.2177208662,-0.7378646135,0.0746478587,-2.7320771217
3895,C(C(C(Cl)(Cl)Br)(Cl)Cl)(Cl)Br,3.6773826574,0.5655388236,-0.2177208662,-0.7378645539,0.0746478587,-2.7320771217
3804,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Cl)Br,3.7769649435,0.5771429539,-0.4453758001,-0.7963375449,-0.143269226,-3.0016341209
1298,C(C(C(F)(F)Br)(F)(Cl)Br)Cl,3.7769654619,0.5771430135,-0.4453757405,-0.7963376045,-0.143269226,-3.0016341209
1478,C(C(C(F)(F)Br)(F)Br)Cl,3.7769659802,0.5771430731,-0.4453758001,-0.7963373661,-0.1432691664,-3.0016343594
3805,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Br)Cl,3.7769664986,0.5771431327,-0.4453758001,-0.7963373661,-0.1432691664,-3.0016341209
759,C(C(C(F)(F)F)F)Br,3.9134996389,0.5925652981,-0.0052555241,-0.8176611662,-0.0976145118,-2.6061723232
3981,C(C(C(Cl)(Cl)Br)Br)(F)(F)Cl,3.9134996389,0.5925652981,-0.0052556433,-0.8176611066,-0.0976145118,-2.6061720848
3807,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Cl)(Cl)Cl,3.9930408781,0.6013037562,-0.3499416113,-1.1790552139,-0.0690090507,-3.408891201
1838,C(C(C(F)(Cl)Cl)(F)F)Cl,3.9930414261,0.6013038158,-0.3499416709,-1.1790552139,-0.0690090507,-3.408891201
2018,C(C(C(F)(Cl)Br)(F)(F)F)Cl,4.0207156467,0.60430336,-0.5337188244,-0.8894301653,-0.0753602237,-3.405983448
3808,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Cl)(Cl)Br,4.0207156467,0.60430336,-0.5337188244,-0.8894300461,-0.0753602237,-3.4059832096
3965,C(C(C(Cl)(Cl)Br)Cl)(F)(Br)Cl,4.0550267357,0.607993722,-0.4603726864,-0.799764812,-0.0716745108,-2.8671059608
1459,C(C(C(F)(F)Br)(F)Cl)Br,4.0550272923,0.6079937816,-0.4603726864,-0.7997647524,-0.0716745108,-2.8671057224
1279,C(C(C(F)(F)Br)(F)(Cl)Cl)Br,4.0550278488,0.6079938412,-0.4603726864,-0.799764812,-0.0716745108,-2.8671059608
3964,C(C(C(Cl)(Cl)Br)Cl)(F)(Cl)Br,4.0550278488,0.6079938412,-0.4603726864,-0.7997648716,-0.0716745108,-2.8671059608
3982,C(C(C(Cl)(Cl)Br)Br)(F)(F)Br,4.1121046349,0.614064157,-0.2154918313,-0.7361379862,-0.0416056961,-2.4758479595
939,C(C(C(F)(F)Cl)(F)(Br)Br)Br,4.1121051993,0.6140642166,-0.2154918313,-0.7361381054,-0.0416056961,-2.4758477211
1659,C(C(C(F)(Cl)Cl)(F)(F)Br)Br,4.1130506192,0.6141640544,-0.4794592857,-0.7584135532,-0.1052729934,-2.8985953331
3986,C(C(C(Cl)(Cl)Br)Br)(F)(Br)Br,4.1130517482,0.6141641736,-0.4794592857,-0.7584135532,-0.1052729934,-2.8985953331
1819,C(C(C(F)(Cl)Cl)(Br)(Br)Br)Br,4.223083451,0.6256296635,-0.3595536947,-1.1600672007,-0.0348493904,-3.3522753716
3967,C(C(C(Cl)(Cl)Br)Cl)(Cl)(Cl)Cl,4.2230851898,0.6256298423,-0.3595536351,-1.1600670815,-0.0348493904,-3.35227561
2378,C(C(C(F)(Cl)Br)Cl)Cl,4.6295202323,0.6655359864,-0.6595990062,-0.7876569629,-0.0588862747,-3.5930447578
3810,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(Br)(Br)Br,4.629521503,0.6655361056,-0.6595989466,-0.7876569629,-0.0588862747,-3.5930447578
3199,C(C(C(F)(Br)Br)Br)Br,4.6727011102,0.6695680022,-0.5577808619,-0.8709187508,0.0713030845,-2.8179616928
3915,C(C(C(Cl)(Cl)Br)(Cl)Br)(Cl)Br,4.6727011102,0.6695680022,-0.5577808619,-0.8709188104,0.0713032037,-2.8179616928
3138,C(C(C(F)(Br)Br)(Br)Br)Cl,5.0223867315,0.700910151,-0.2183094025,-0.7902337313,0.1337544471,-2.3217105865
3675,C(C(C(Cl)(Cl)Br)(F)(Cl)Cl)(Cl)Br,5.0223874208,0.7009102106,-0.2183095217,-0.7902337909,0.1337544471,-2.3217105865
2939,C(C(C(F)(Br)Br)(F)(Br)Br)Br,5.0545484411,0.703682363,-0.1954877973,-0.8989289403,0.0227455646,-1.5753595829
3834,C(C(C(Cl)(Cl)Br)(F)F)(Cl)Cl,5.0545484411,0.703682363,-0.1954877973,-0.8989291191,0.0227453858,-1.5753595829
758,C(C(C(F)(F)F)F)Cl,5.1103538563,0.708450973,0.0458087288,-0.8621895909,-0.1004023999,-2.4842357635
3801,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(F)Cl,5.1103538563,0.708450973,0.0458086692,-0.8621895909,-0.1004023999,-2.4842357635
579,C(C(C(F)(F)F)(Cl)(Cl)Br)Br,5.1352244178,0.7105594277,0.2127687335,-0.7502900362,0.1030866653,-2.099773407
3980,C(C(C(Cl)(Cl)Br)Br)(F)(F)F,5.1352244178,0.7105594277,0.2127686143,-0.7502900958,0.1030866653,-2.099773407
3914,C(C(C(Cl)(Cl)Br)(Cl)Br)(Cl)Cl,5.287415202,0.7232434154,-0.9008561373,-0.9406285286,0.077399984,-2.5851249695
3019,C(C(C(F)(Br)Br)(Br)(Br)Br)Br,5.2874159277,0.723243475,-0.9008561373,-0.9406285286,0.077399984,-2.5851252079
2999,C(C(C(F)(Br)Br)(Cl)(Br)Br)Br,5.3016836771,0.7244138122,-0.6035838723,-0.7627742887,0.0741811544,-2.4716773033
3894,C(C(C(Cl)(Cl)Br)(Cl)Cl)(Cl)Cl,5.3016851324,0.7244139314,-0.6035837531,-0.7627742887,0.0741811544,-2.4716773033
938,C(C(C(F)(F)Cl)(F)(Br)Br)Cl,5.3762775891,0.7304816842,-0.1876661181,-0.7389350533,-0.0511578172,-2.288128376
3802,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(F)Br,5.3762775891,0.7304816842,-0.1876662374,-0.7389350533,-0.0511578172,-2.288128376
3299,C(C(C(Cl)(Cl)Cl)(F)(Cl)Br)Br,5.4279677723,0.7346372604,0.1673121452,-0.8608605862,0.018162623,-2.0569031239
3836,C(C(C(Cl)(Cl)Br)(F)F)(Br)Br,5.4279677723,0.7346372604,0.1673122048,-0.8608605862,0.018162623,-2.0569031239
739,C(C(C(F)(F)F)(Br)Br)Br,5.4986265326,0.7402542233,-0.1078209877,-0.8175251484,-0.0803198665,-2.4291293621
3961,C(C(C(Cl)(Cl)Br)Cl)(F)(F)Cl,5.4986265326,0.7402542233,-0.1078209877,-0.8175251484,-0.0803198665,-2.4291296005
2359,C(C(C(F)(Cl)Br)F)Br,5.5542373669,0.7446244359,-0.741892159,-0.764811039,-0.0382237285,-3.44749403
3970,C(C(C(Cl)(Cl)Br)Cl)(Br)(Br)Br,5.5542388915,0.7446245551,-0.741892159,-0.764811039,-0.0382237285,-3.44749403
3159,C(C(C(F)(Br)Br)F)Br,5.5553138247,0.7447085977,-0.4148880839,-0.9422748089,-0.0440588444,-2.1068224907
3875,C(C(C(Cl)(Cl)Br)(F)Br)(Cl)Br,5.5553138247,0.7447085977,-0.414888382,-0.9422748089,-0.0440588444,-2.1068224907
3789,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(Cl)(Br)Br,5.6877477981,0.754940331,-0.6948114634,-0.7577056885,-0.0029722312,-2.9650502205
2178,C(C(C(F)(Cl)Br)(Cl)(Cl)Br)Cl,5.6877485787,0.7549403906,-0.6948114634,-0.7577056885,-0.0029722312,-2.9650502205
1658,C(C(C(F)(Cl)Cl)(F)(F)Br)Cl,5.7925799977,0.7628720403,-0.4844991565,-0.7594636679,-0.1274555773,-2.7684583664
3806,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(Br)Br,5.7925799977,0.7628720403,-0.4844990373,-0.7594635487,-0.1274555773,-2.7684583664
3198,C(C(C(F)(Br)Br)Br)Cl,6.0615960577,0.7825869918,-0.7836713791,-0.9043687582,0.1074693948,-2.7551558018
3735,C(C(C(Cl)(Cl)Br)(F)(Br)Br)(Cl)Br,6.0615960577,0.7825869918,-0.7836713791,-0.9043688178,0.1074693948,-2.7551555634
2197,C(C(C(F)(Cl)Br)(Cl)(Br)Br)F,6.0842282227,0.7842054963,-0.5882253051,-0.7589181662,-0.0233464092,-3.1369924545
3629,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(Cl)(Br)Br,6.0842298928,0.7842056155,-0.5882253051,-0.7589181662,-0.0233464092,-3.1369924545
919,C(C(C(F)(F)Cl)(F)(Br)Cl)Br,6.2228965169,0.793992579,-0.2699907422,-0.7255420685,-0.0150687555,-2.2850527763
3962,C(C(C(Cl)(Cl)Br)Cl)(F)(F)Br,6.2228965169,0.793992579,-0.2699908614,-0.7255419493,-0.0150687555,-2.2850527763
3856,C(C(C(Cl)(Cl)Br)(F)Cl)(Br)Br,6.232137468,0.7946370244,-0.0244784988,-0.8005259037,0.0752839595,-2.6363835335
3319,C(C(C(Cl)(Cl)Cl)(F)(Br)Cl)Br,6.2321391786,0.7946371436,-0.0244785585,-0.8005259633,0.0752838999,-2.6363835335
3966,C(C(C(Cl)(Cl)Br)Cl)(F)(Br)Br,6.2571082047,0.7963736653,-0.501940608,-0.728797853,-0.0726002306,-2.697406292
1639,C(C(C(F)(Cl)Cl)(F)(F)Cl)Br,6.2571099222,0.7963737845,-0.5019406676,-0.728797853,-0.0726002902,-2.697406292
578,C(C(C(F)(F)F)(Cl)(Cl)Br)Cl,6.5783588252,0.818117559,0.1993314028,-0.7654877901,0.0572611243,-1.9443241358
3800,C(C(C(Cl)(Cl)Br)(Br)(Br)Br)(F)(F)F,6.5783588252,0.818117559,0.1993314028,-0.7654877901,0.0572611243,-1.9443241358
3118,C(C(C(F)(Br)Br)(Cl)Br)Cl,6.5799426065,0.8182221055,-0.0215063728,-0.9227411747,0.1563696414,-2.0067133904
3655,C(C(C(Cl)(Cl)Br)(F)(F)Br)(Cl)Br,6.5799426065,0.8182221055,-0.0215063728,-0.9227411747,0.1563696414,-2.0067133904
3178,C(C(C(F)(Br)Br)Cl)Cl,6.6619481136,0.8236012459,-0.450504005,-0.7622340322,0.1281464845,-2.6390042305
3715,C(C(C(Cl)(Cl)Br)(F)(Br)Cl)(Cl)Br,6.6619481136,0.8236012459,-0.450504005,-0.7622340322,0.1281463653,-2.6390042305
1117,C(C(C(F)(F)Cl)(Cl)Br)F,6.6967452543,0.8258637786,-0.106244266,-0.9966440201,-0.0844279379,-3.0068943501
3623,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(F)(Cl)Cl,6.6967489307,0.825864017,-0.1062442064,-0.9966440797,-0.0844279379,-3.0068943501
3158,C(C(C(F)(Br)Br)F)Cl,6.7373012346,0.8284859657,-0.5092808604,-0.9651151896,0.0688180476,-2.2132308483
3695,C(C(C(Cl)(Cl)Br)(F)(Cl)Br)(Cl)Br,6.7373040086,0.8284861445,-0.5092808008,-0.9651152492,0.0688178092,-2.2132308483
2959,C(C(C(F)(Br)Br)(Cl)(Cl)Cl)Br,6.7745594641,0.8308810592,-0.3695335388,-0.8149790764,0.0817525536,-2.0415873528
3854,C(C(C(Cl)(Cl)Br)(F)Cl)(Cl)Cl,6.7745594641,0.8308810592,-0.3695337176,-0.8149790764,0.0817526728,-2.0415873528
1098,C(C(C(F)(F)Cl)(Cl)Cl)Cl,6.8269800671,0.8342286348,-0.195977509,-0.9512869716,-0.0794502348,-2.870279789
3783,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(F)(Cl)Cl,6.8269810041,0.8342286944,-0.195977509,-0.9512869716,-0.0794501752,-2.870279789
559,C(C(C(F)(F)F)(Cl)(Cl)Cl)Br,6.8348072906,0.834726274,0.0417279564,-0.7054766417,0.1211806685,-1.8458273411
3960,C(C(C(Cl)(Cl)Br)Cl)(F)(F)F,6.8348072906,0.834726274,0.0417279564,-0.7054766417,0.1211805493,-1.8458273411
1998,C(C(C(F)(Cl)Cl)Br)Cl,7.0392574366,0.8475268483,-0.6229918599,-0.9302505851,-0.0261536092,-3.1484026909
3788,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(Cl)(Cl)Br,7.0392574366,0.8475268483,-0.6229918599,-0.9302505851,-0.0261536092,-3.1484026909
1837,C(C(C(F)(Cl)Cl)(F)F)F,7.0608635683,0.84885782,-0.3225954175,-1.1507117748,-0.0445322841,-3.3264155388
3627,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(Cl)(Cl)Cl,7.0608655064,0.8488579392,-0.3225954175,-1.1507117748,-0.0445322841,-3.3264155388
2017,C(C(C(F)(Cl)Br)(F)(F)F)F,7.3221239575,0.8646370769,-0.4937815666,-0.8942732811,-0.0464481562,-3.2834062576
3628,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(Cl)(Cl)Br,7.3221239575,0.8646370769,-0.4937815666,-0.8942732811,-0.0464481562,-3.2834062576
3896,C(C(C(Cl)(Cl)Br)(Cl)Cl)(Br)Br,7.7174086422,0.8874714971,-0.0930777788,-0.7844164371,0.0671863705,-2.9995377064
3359,C(C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl)Br,7.7174097014,0.8874715567,-0.0930777192,-0.7844164371,0.0671863109,-2.9995377064
1477,C(C(C(F)(F)Br)(F)Br)F,7.7192327553,0.8875741363,-0.4184526205,-0.794500649,-0.0860044807,-2.8458964825
1297,C(C(C(F)(F)Br)(F)(Cl)Br)F,7.7192348742,0.8875742555,-0.4184525609,-0.794500649,-0.0860044807,-2.845896244
3624,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(F)(Cl)Br,7.7192348742,0.8875742555,-0.4184525609,-0.7945005894,-0.0860044807,-2.845896244
3625,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(F)(Br)Cl,7.7192348742,0.8875742555,-0.4184526205,-0.7945005894,-0.0860044807,-2.8458964825
3784,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(F)(Cl)Br,8.0477673165,0.9056754112,-0.536873877,-0.8195821643,-0.0861193985,-2.6870963573
1278,C(C(C(F)(F)Br)(F)(Cl)Cl)Cl,8.047768421,0.9056754708,-0.536873877,-0.8195821047,-0.0861193985,-2.6870961189
1458,C(C(C(F)(F)Br)(F)Cl)Cl,8.047768421,0.9056754708,-0.5368734002,-0.8195822239,-0.0861193389,-2.6870963573
3785,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(F)(Br)Cl,8.047768421,0.9056754708,-0.5368735194,-0.8195822835,-0.0861193389,-2.6870965958
2979,C(C(C(F)(Br)Br)(Cl)(Cl)Br)Br,8.115429942,0.909311533,-0.6600570679,-0.9233177304,0.0229227096,-1.9426668882
3874,C(C(C(Cl)(Cl)Br)(F)Br)(Cl)Cl,8.1154310558,0.9093115926,-0.6600571275,-0.92331779,0.0229227096,-1.9426668882
3379,C(C(C(Cl)(Cl)Cl)(Cl)(Cl)Br)Br,8.1321173242,0.9102036357,-0.3837688565,-0.8456559777,0.0553083569,-3.1105830669
3916,C(C(C(Cl)(Cl)Br)(Cl)Br)(Br)Br,8.1321173242,0.9102036357,-0.3837687373,-0.8456559777,0.0553083569,-3.1105830669
3318,C(C(C(Cl)(Cl)Cl)(F)(Br)Cl)Cl,8.1504082658,0.9111793637,-0.1409679651,-0.7652981281,0.1089126021,-2.690030098
3676,C(C(C(Cl)(Cl)Br)(F)(Cl)Cl)(Br)Br,8.1504082658,0.9111793637,-0.1409677863,-0.7652980685,0.1089126021,-2.690030098
3018,C(C(C(F)(Br)Br)(Br)(Br)Br)Cl,8.1936074964,0.9134751558,-1.1000043154,-0.9592536092,0.139214769,-2.5376484394
3734,C(C(C(Cl)(Cl)Br)(F)(Br)Br)(Cl)Cl,8.1936074964,0.9134751558,-1.1000045538,-0.9592536092,0.139214769,-2.5376484394
2358,C(C(C(F)(Cl)Br)F)Cl,8.2241852734,0.9150928855,-0.8705585599,-0.7595443726,-0.0291826576,-3.2808065414
3790,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(Br)(Br)Br,8.2241852734,0.9150928855,-0.8705587387,-0.7595443726,-0.0291826576,-3.2808065414
2377,C(C(C(F)(Cl)Br)Cl)F,8.4519854307,0.9269587398,-0.63970083,-0.818672061,-0.0274911374,-3.4318444729
3630,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(Br)(Br)Br,8.4519854307,0.9269587398,-0.6397008896,-0.818672061,-0.0274911374,-3.4318444729
3218,C(C(C(Cl)(Cl)Cl)(F)(F)F)Cl,8.4638047131,0.9275656343,-0.9799490571,-0.8666011095,-0.0096498588,-2.6871201992
3755,C(C(C(Cl)(Cl)Br)(Cl)(Cl)Cl)(Cl)Br,8.4638047131,0.9275656343,-0.9799491167,-0.8666011095,-0.0096498588,-2.6871201992
3949,C(C(C(Cl)(Cl)Br)F)(Cl)(Br)Br,8.6381819594,0.936422348,-0.3263987303,-0.6858602166,0.0077584526,-2.8819699287
2159,C(C(C(F)(Cl)Br)(Cl)(Cl)Cl)Br,8.638185516,0.9364225268,-0.3263987303,-0.6858602166,0.0077584526,-2.8819696903
1818,C(C(C(F)(Cl)Cl)(Br)(Br)Br)Cl,8.8904333842,0.9489229321,-0.4240987897,-1.1776018143,-0.0090803364,-3.1638848782
3787,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(Cl)(Cl)Cl,8.8904333842,0.9489229321,-0.4240987897,-1.1776018143,-0.0090803364,-3.1638848782
3339,C(C(C(Cl)(Cl)Cl)(F)(Br)Br)Br,8.9960263685,0.9540507197,-0.2434977889,-0.9290277362,-0.0472356528,-2.4908893108
3876,C(C(C(Cl)(Cl)Br)(F)Br)(Br)Br,8.9960263685,0.9540507197,-0.2434977889,-0.9290277958,-0.0472356528,-2.4908895493
3219,C(C(C(Cl)(Cl)Cl)(F)(F)F)Br,9.0123386194,0.954837501,-0.7763106227,-0.8547435999,-0.0669166893,-2.6319711208
3935,C(C(C(Cl)(Cl)Br)(Br)Br)(Cl)Br,9.0123386194,0.954837501,-0.7763106227,-0.8547438979,-0.0669165701,-2.6319711208
2958,C(C(C(F)(Br)Br)(Cl)(Cl)Cl)Cl,9.0474493447,0.9565261602,-0.4435666203,-0.844067812,0.1422435194,-2.0224795341
3674,C(C(C(Cl)(Cl)Br)(F)(Cl)Cl)(Cl)Cl,9.0474505865,0.9565262198,-0.4435665607,-0.8440677524,0.1422435194,-2.0224795341
3378,C(C(C(Cl)(Cl)Cl)(Cl)(Cl)Br)Cl,9.3930783264,0.9728079438,-0.6252631545,-0.8317035437,0.0859747082,-3.1072430611
3736,C(C(C(Cl)(Cl)Br)(F)(Br)Br)(Br)Br,9.3930796156,0.9728080034,-0.6252630949,-0.8317035437,0.0859747082,-3.1072430611
3656,C(C(C(Cl)(Cl)Br)(F)(F)Br)(Br)Br,9.5830993375,0.98150599,0.1345547438,-0.8321594,0.1863030344,-2.1279654503
3298,C(C(C(Cl)(Cl)Cl)(F)(Cl)Br)Cl,9.5831006528,0.9815060496,0.1345547438,-0.8321594596,0.186303094,-2.1279654503
2938,C(C(C(F)(Br)Br)(F)(Br)Br)Cl,9.7263169481,0.9879484177,-0.228975594,-0.8901746273,0.1865427047,-1.6562576294
3654,C(C(C(Cl)(Cl)Br)(F)(F)Br)(Cl)Cl,9.7263182829,0.9879484773,-0.2289757133,-0.8901747465,0.1865427047,-1.656257391
339,C(C(Br)Br)Br,9.9439627282,0.9975594878,0.0721648335,-1.0245702267,0.0450833589,-2.3686561584
396,C(CBr)(Br)Br,9.9439627282,0.9975594878,0.0721648932,-1.0245702267,0.0450833589,-2.3686561584
757,C(C(C(F)(F)F)F)F,9.9915698645,0.9996337295,-0.0229854621,-0.8656693697,-0.0773583502,-2.3057348728
3621,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(F)(F)Cl,9.9915698645,0.9996337295,-0.0229853429,-0.8656694889,-0.0773583502,-2.3057348728
1638,C(C(C(F)(Cl)Cl)(F)(F)Cl)Cl,10.2054681465,1.0088329315,-0.554181397,-0.7301590443,-0.0821508616,-2.47447896
3786,C(C(C(Cl)(Cl)Br)(Cl)(Br)Br)(F)(Br)Br,10.2054681465,1.0088329315,-0.5541814566,-0.7301590443,-0.082150802,-2.47447896
3622,C(C(C(Cl)(Cl)Br)(F)(F)Cl)(F)(F)Br,10.3879516057,1.0165299177,-0.2006201744,-0.7667630315,-0.0175729245,-2.1341195107
937,C(C(C(F)(F)Cl)(F)(Br)Br)F,10.3879544571,1.0165300369,-0.2006199956,-0.7667630315,-0.0175729245,-2.1341195107
3358,C(C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl)Cl,10.4411946154,1.0187501907,-0.2512002587,-0.7745870352,0.1037345082,-2.905901432
3716,C(C(C(Cl)(Cl)Br)(F)(Br)Cl)(Br)Br,10.4411946154,1.0187501907,-0.2512003779,-0.7745867968,0.1037344486,-2.905901432
3039,C(C(C(F)(Br)Br)(F)F)Br,10.4866764766,1.0206378698,-1.0065537691,-0.8028017879,-0.0317207426,-2.3389697075
3934,C(C(C(Cl)(Cl)Br)(Br)Br)(Cl)Cl,10.4866793551,1.020637989,-1.0065535307,-0.8028017282,-0.0317207426,-2.3389697075
3936,C(C(C(Cl)(Cl)Br)(Br)Br)(Br)Br,10.5078546824,1.0215140581,-0.5918738842,-0.9342543483,-0.0465258807,-2.9853610992
3399,C(C(C(Cl)(Cl)Cl)(Cl)(Br)Br)Br,10.5078575667,1.0215141773,-0.5918738842,-0.9342542291,-0.0465259403,-2.9853610992
2998,C(C(C(F)(Br)Br)(Cl)(Br)Br)Cl,10.5489060891,1.0232074261,-0.7799270153,-0.8066174984,0.1658420712,-2.3717579842
3714,C(C(C(Cl)(Cl)Br)(F)(Br)Cl)(Cl)Cl,10.5489060891,1.0232074261,-0.7799270153,-0.8066174984,0.1658420712,-2.3717582226
3338,C(C(C(Cl)(Cl)Cl)(F)(Br)Br)Cl,10.5774950232,1.0243828297,-0.3918918967,-0.912473321,0.0912137181,-2.5531616211
3696,C(C(C(Cl)(Cl)Br)(F)(Cl)Br)(Br)Br,10.5774950232,1.0243828297,-0.3918918371,-0.912473321,0.0912137181,-2.5531616211
