,smiles,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
3529,C(C(C(Cl)(Cl)Cl)(Br)Br)(Cl)(Br)Br,981.4803496684,2.991881609,-0.253162086,-0.9202131033,-0.0063666562,-2.5319247246
2534,C(C(C(F)(Br)Cl)(F)(Br)Br)(Cl)Cl,990.9767626021,2.9960634708,-0.4478025436,-1.203363061,0.0382143408,-1.198114872
3071,C(C(C(F)(Br)Br)(F)Br)(F)F,990.9767626021,2.9960634708,-0.4478025436,-1.2033629417,0.0382143408,-1.198114872
882,C(C(C(F)(F)Cl)(F)(Cl)Br)(F)(F)Br,995.5429197343,2.998059988,0.5096504688,-0.4213321209,0.0441572815,-2.208521843
2393,C(C(C(F)(Cl)Br)Br)(F)Br,997.943993963,2.9991061687,0.9082168341,-0.7662639618,-0.1973560303,-2.0307154655
2751,C(C(C(F)(Br)Cl)F)(F)F,997.943993963,2.9991061687,0.9082168341,-0.766264081,-0.1973560303,-2.0307154655
891,C(C(C(F)(F)Cl)(F)(Cl)Br)(F)F,1006.9466427872,3.0030064583,0.3378651738,-0.5723747015,-0.1229801029,-2.0318589211
2502,C(C(C(F)(Br)Cl)(F)(Br)Cl)(F)(F)Br,1006.9466427872,3.0030064583,0.3378651738,-0.5723747015,-0.1229801029,-2.0318584442
2051,C(C(C(F)(Cl)Br)(F)(F)Br)(F)F,1012.6960064889,3.0054790974,0.8890672326,-0.4803287983,-0.0172758549,-3.2442903519
2409,C(C(C(F)(Br)Cl)(F)(F)F)(Cl)(Br)Br,1012.6960064889,3.0054790974,0.8890672326,-0.4803287089,-0.0172757357,-3.2442903519
1491,C(C(C(F)(F)Br)(Cl)Cl)(F)F,1015.327947145,3.0066063404,1.0874134302,-0.4311690629,0.0573325306,-2.6451253891
2386,C(C(C(F)(Cl)Br)Br)(F)(Br)Br,1015.327947145,3.0066063404,1.0874134302,-0.4311690629,0.0573325306,-2.6451253891
2533,C(C(C(F)(Br)Cl)(F)(Br)Br)(F)Br,1026.3681966953,3.0113031864,-0.3757527471,-1.1428259611,0.0413692743,-1.2614741325
2891,C(C(C(F)(Br)Br)(F)(Cl)Br)(F)F,1026.3681966953,3.0113031864,-0.3757527769,-1.1428259611,0.0413692743,-1.2614741325
1357,C(C(C(F)(F)Br)(Cl)(Cl)Cl)F,1028.8430512509,3.0123491287,0.4179389179,-1.2217963934,0.1762332469,-2.2386717796
3505,C(C(C(Cl)(Cl)Cl)(Cl)Br)(F)(Br)Cl,1028.8430512509,3.0123491287,0.4179388583,-1.2217963934,0.1762331873,-2.2386717796
1177,C(C(C(F)(F)Cl)Cl)F,1028.8436160644,3.0123493671,0.4179389179,-1.2217962742,0.1762333065,-2.2386717796
3504,C(C(C(Cl)(Cl)Cl)(Cl)Br)(F)(Cl)Br,1028.8436160644,3.0123493671,0.4179389775,-1.2217962742,0.1762332469,-2.2386717796
532,C(C(C(F)(F)F)(F)(Br)Br)(F)Cl,1030.5388872277,3.0130643845,0.472163856,-0.5617245436,0.0232771784,-1.8159353733
2680,C(C(C(F)(Br)Cl)(Cl)Cl)(F)(F)F,1030.5388872277,3.0130643845,0.4721639752,-0.5617245436,0.0232771784,-1.8159353733
711,C(C(C(F)(F)F)(Cl)Br)(F)F,1034.4323209924,3.0147020817,0.602604568,-0.5946669579,-0.12874268,-2.2285041809
2501,C(C(C(F)(Br)Cl)(F)(Br)Cl)(F)(F)Cl,1034.4323209924,3.0147020817,0.602604568,-0.5946669579,-0.12874268,-2.2285041809
637,C(C(C(F)(F)F)(F)F)F,1060.3460113108,3.025447607,0.5794152021,-1.2531613111,0.1375289112,-2.0632739067
3501,C(C(C(Cl)(Cl)Cl)(Cl)Br)(F)(F)Cl,1060.3460113108,3.025447607,0.5794152021,-1.2531613111,0.1375289708,-2.0632739067
2454,C(C(C(F)(Br)Cl)(F)(F)Br)(Cl)Cl,1061.953846511,3.0261056423,0.3350193501,-1.0383169651,-0.0750510544,-2.8896126747
2991,C(C(C(F)(Br)Br)(Cl)(Br)Br)(F)F,1061.953846511,3.0261056423,0.3350193501,-1.0383169651,-0.0750510544,-2.8896124363
1551,C(C(C(F)(F)Br)F)(F)F,1062.6968361129,3.0264093876,0.899258256,-0.5281079412,0.0331014544,-3.0338354111
2446,C(C(C(F)(Br)Cl)(F)(F)Br)(F)(Br)Br,1062.6968361129,3.0264093876,0.899258256,-0.5281079412,0.0331014544,-3.0338354111
2432,C(C(C(F)(Br)Cl)(F)(F)Cl)(F)Cl,1062.8928760272,3.0264894962,0.7412232757,-0.8862929344,-0.2098252028,-2.2298932076
2611,C(C(C(F)(Br)Cl)(Br)(Br)Br)(F)F,1062.8928760272,3.0264894962,0.7412233353,-0.8862928152,-0.2098252028,-2.2298932076
232,C(C(F)F)(F)Cl,1067.7704730369,3.0284779072,0.2673285604,-0.8248252869,0.0035308143,-0.8906109929
251,C(C(F)Cl)(F)F,1067.7704730369,3.0284779072,0.2673285604,-0.8248252273,0.0035308143,-0.8906109929
1606,C(C(C(F)(Cl)Cl)(F)(F)F)(F)(Br)Br,1072.3248401278,3.0303263664,0.0787966847,-0.4661804736,-0.1680395454,-2.7336435318
522,C(C(C(F)(F)F)(F)(Br)Br)(F)(F)Br,1074.1283163919,3.0310561657,0.6077029109,-0.4796950817,0.0432996899,-2.123319149
880,C(C(C(F)(F)Cl)(F)(Cl)Br)(F)(F)F,1074.1283163919,3.0310561657,0.6077029705,-0.4796950817,0.0432997495,-2.123319149
2031,C(C(C(F)(Cl)Br)(F)(F)Cl)(F)F,1090.7930855679,3.0377423763,0.9894819856,-0.4482723475,0.0568422228,-2.9351344109
2389,C(C(C(F)(Cl)Br)Br)(Cl)(Br)Br,1090.7930855679,3.0377423763,0.9894819856,-0.4482724071,0.056842342,-2.9351341724
1611,C(C(C(F)(Cl)Cl)(F)(F)F)(F)F,1115.3819218459,3.0474236012,0.1490275264,-0.5565930009,-0.1839191765,-2.3844928741
2506,C(C(C(F)(Br)Cl)(F)(Br)Cl)(F)(Br)Br,1115.3819218459,3.0474236012,0.1490275264,-0.5565928817,-0.1839191765,-2.3844931126
777,C(C(C(F)(F)F)Cl)F,1119.780917692,3.0491330624,0.9173172712,-1.1167798042,0.1105883271,-1.904323101
3462,C(C(C(Cl)(Cl)Cl)(F)Br)(F)(F)Br,1119.780917692,3.0491330624,0.9173172712,-1.1167800426,0.1105883271,-1.9043229818
1971,C(C(C(F)(Cl)Cl)Cl)(F)F,1128.9086385046,3.0526587963,0.1686803699,-0.6973662376,-0.1013402194,-2.7940394878
2508,C(C(C(F)(Br)Cl)(F)(Br)Cl)(Cl)(Cl)Br,1128.9086385046,3.0526587963,0.1686803699,-0.6973662376,-0.1013402194,-2.7940392494
1857,C(C(C(F)(Cl)Cl)(F)Cl)F,1138.6007103527,3.0563714504,0.35427019,-1.1149863005,0.1306444556,-2.235273838
3468,C(C(C(Cl)(Cl)Cl)(F)Br)(Cl)(Cl)Br,1138.6007103527,3.0563714504,0.35427019,-1.1149863005,0.1306444556,-2.235273838
871,C(C(C(F)(F)Cl)(F)(Cl)Cl)(F)F,1145.6720949919,3.0590603352,0.9891834259,-0.5252926946,0.0245930105,-3.3923392296
2482,C(C(C(F)(Br)Cl)(F)(Cl)Br)(F)(F)Br,1145.6720949919,3.0590603352,0.9891834259,-0.5252926946,0.0245930701,-3.3923392296
231,C(C(F)F)(F)F,1153.731371917,3.062104702,0.9397007823,-0.7476993203,-0.0068797329,-0.8288429976
2413,C(C(C(F)(Br)Cl)(F)(F)F)(F)Br,1162.4898144011,3.0653891563,0.8174725175,-0.9278107882,-0.1884888858,-2.7416510582
2771,C(C(C(F)(Br)Cl)Cl)(F)F,1162.4898144011,3.0653891563,0.8174725771,-0.9278107882,-0.1884888262,-2.7416508198
2551,C(C(C(F)(Br)Cl)(Cl)(Cl)Cl)(F)F,1171.9862586628,3.0689225197,0.0158553086,-1.0077040195,0.0596617013,-1.2643731833
2552,C(C(C(F)(Br)Cl)(Cl)(Cl)Cl)(F)Cl,1177.7426578856,3.0710504055,-0.286005646,-1.0364428759,0.0555108339,-1.3921635151
2731,C(C(C(F)(Br)Cl)(Br)Br)(F)F,1177.7426578856,3.0710504055,-0.2860055864,-1.0364429951,0.0555108339,-1.3921633959
2572,C(C(C(F)(Br)Cl)(Cl)(Cl)Br)(F)Cl,1191.7881275421,3.0761990547,0.6338772178,-0.8223352432,-0.2171554416,-1.9576772451
1231,C(C(C(F)(F)Br)(F)(F)Cl)(F)F,1205.2651035668,3.0810825825,0.9252158999,-0.5307891369,0.0018153926,-3.8725943565
1411,C(C(C(F)(F)Br)(Br)(Br)Br)(F)F,1205.2651035668,3.0810825825,0.9252157807,-0.5307890177,0.0018153926,-3.8725943565
2484,C(C(C(F)(Br)Cl)(F)(Cl)Br)(F)(Cl)Br,1205.2651035668,3.0810825825,0.9252158999,-0.5307890773,0.0018153926,-3.8725943565
2485,C(C(C(F)(Br)Cl)(F)(Cl)Br)(F)(Br)Cl,1205.2651035668,3.0810825825,0.9252158999,-0.5307890177,0.0018153926,-3.8725943565
1792,C(C(C(F)(Cl)Cl)(Cl)(Br)Br)(F)Cl,1222.4219670812,3.0872211456,0.1154490709,-0.8375089765,-0.091770038,-3.0578613281
2687,C(C(C(F)(Br)Cl)(Cl)Cl)(Cl)(Cl)Cl,1222.4219670812,3.0872211456,0.1154488921,-0.8375091553,-0.091770038,-3.0578613281
2692,C(C(C(F)(Br)Cl)(Cl)Cl)(F)Cl,1232.1144056965,3.0906510353,-0.3767410219,-1.1673699617,0.0359616429,-1.0475599766
511,C(C(C(F)(F)F)(F)(Br)Cl)(F)F,1232.1556670934,3.0906655788,1.0271658897,-0.4904258549,0.0960809141,-3.3619778156
2480,C(C(C(F)(Br)Cl)(F)(Cl)Br)(F)(F)F,1232.1556670934,3.0906655788,1.0271657705,-0.4904257953,0.0960809141,-3.3619778156
811,C(C(C(F)(F)Cl)(F)(F)F)(F)F,1252.2961146713,3.0977070332,1.1746850014,-0.4554439485,0.0772865564,-2.9246132374
2422,C(C(C(F)(Br)Cl)(F)(F)Cl)(F)(F)Br,1252.2961146713,3.0977070332,1.1746850014,-0.4554439485,0.0772865564,-2.924612999
2872,C(C(C(F)(Br)Br)(F)(Cl)Cl)(F)Cl,1254.5283009548,3.098480463,-0.4486480951,-1.1692223549,0.0400704294,-1.2310137749
2693,C(C(C(F)(Br)Cl)(Cl)Cl)(F)Br,1254.5289896647,3.0984807014,-0.4486480951,-1.1692223549,0.0400704294,-1.2310137749
1071,C(C(C(F)(F)Cl)(F)Br)(F)F,1259.6226721737,3.100240469,0.4062784314,-0.7276819944,-0.1952470392,-2.5274958611
2503,C(C(C(F)(Br)Cl)(F)(Br)Cl)(F)(Cl)Cl,1259.6226721737,3.100240469,0.406278193,-0.7276819944,-0.1952470392,-2.5274958611
691,C(C(C(F)(F)F)(Cl)Cl)(F)F,1259.665546305,3.1002552509,1.0217961073,-0.4858950675,0.0171085149,-3.6022262573
2481,C(C(C(F)(Br)Cl)(F)(Cl)Br)(F)(F)Cl,1259.665546305,3.1002552509,1.0217959881,-0.4858950377,0.0171085149,-3.6022262573
797,C(C(C(F)(F)F)Br)F,1262.2586831896,3.1011483669,0.7529573441,-1.1094079018,0.1432486922,-1.9172444344
3482,C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)(F)Br,1262.2586831896,3.1011483669,0.7529573441,-1.1094079018,0.1432486326,-1.9172443151
2091,C(C(C(F)(Cl)Br)(F)(Cl)Br)(F)F,1270.0597084953,3.1038241386,0.8097172976,-0.5624137521,-0.1566370577,-3.1974039078
2449,C(C(C(F)(Br)Cl)(F)(F)Br)(Cl)(Br)Br,1270.0604057316,3.1038243771,0.8097173572,-0.5624138713,-0.1566370577,-3.1974039078
2270,C(C(C(F)(Cl)Br)(F)Br)(Br)(Br)Br,1273.7597422443,3.1050875187,1.0145666599,-0.5695976615,-0.0477574915,-3.9859933853
91,C(C(F)(Cl)Br)(F)F,1275.3914781668,3.1056435108,0.6603835225,-0.6583037376,-0.1804774255,-2.4357199669
224,C(C(F)F)(F)(Cl)Br,1275.3914781668,3.1056435108,0.6603835225,-0.6583037376,-0.1804774255,-2.4357199669
111,C(C(F)(Br)Cl)(F)F,1275.3921783302,3.1056437492,0.6603834033,-0.6583037376,-0.1804774851,-2.4357199669
225,C(C(F)F)(F)(Br)Cl,1275.3921783302,3.1056437492,0.6603834033,-0.6583037376,-0.1804774851,-2.4357199669
2513,C(C(C(F)(Br)Cl)(F)(Br)Cl)(F)Br,1286.2232302388,3.109316349,-0.0375301875,-1.1521978378,0.038997367,-1.2852995396
2871,C(C(C(F)(Br)Br)(F)(Cl)Cl)(F)F,1286.2232302388,3.109316349,-0.0375303663,-1.1521978378,0.038997367,-1.2852995396
17,C(C(F)(F)F)F,1289.2369006496,3.1103327274,0.8731299639,-1.1341760159,0.1073786169,-1.2818447351
340,C(CF)(F)(F)F,1289.2369006496,3.1103327274,0.8731299639,-1.1341760159,0.1073786169,-1.2818447351
417,C(C(C(F)(F)F)(F)(F)F)F,1290.2508172845,3.1106741428,0.9476615787,-1.1263670921,0.1105237752,-1.7903555632
3460,C(C(C(Cl)(Cl)Cl)(F)Br)(F)(F)F,1290.2508172845,3.1106741428,0.9476615787,-1.1263668537,0.1105237156,-1.7903555632
2712,C(C(C(F)(Br)Cl)(Cl)Br)(F)Cl,1294.9150193559,3.1122412682,-0.5919641256,-1.1262928247,0.0391597301,-1.0149668455
190,C(C(Cl)(Br)Br)(Br)(Br)Br,1309.0349054778,3.1169512272,0.6228840351,-0.719370842,-0.1202638596,-3.6236896515
209,C(C(Br)(Br)Br)(Cl)(Br)Br,1309.0349054778,3.1169512272,0.6228840351,-0.719370842,-0.1202639192,-3.6236896515
2057,C(C(C(F)(Cl)Br)(F)(F)Br)F,1317.1640642966,3.1196398735,0.1680394411,-1.0604512691,0.0415426642,-2.4724860191
3489,C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)(Br)Br,1317.1640642966,3.1196398735,0.1680393815,-1.0604513884,0.0415426642,-2.4724860191
851,C(C(C(F)(F)Cl)(F)(F)Br)(F)F,1322.0924803297,3.1212618351,1.134359479,-0.5265063047,0.0164196044,-3.1056854725
2462,C(C(C(F)(Br)Cl)(F)(Cl)Cl)(F)(F)Br,1322.0924803297,3.1212618351,1.1343593597,-0.5265063643,0.0164197236,-3.1056854725
10,C(C(F)(F)F)(Br)(Br)Br,1325.0679791251,3.1222381592,0.9510275722,-0.6494692564,0.0607443005,-3.01942873
200,C(C(Br)(Br)Br)(F)(F)F,1325.0679791251,3.1222381592,0.9510275722,-0.6494692564,0.0607443005,-3.0194289684
131,C(C(F)(Br)Br)(F)F,1335.9182019431,3.1257798672,0.4877934456,-0.689005971,-0.2017944306,-2.5630230904
226,C(C(F)F)(F)(Br)Br,1335.9182019431,3.1257798672,0.487793386,-0.689005971,-0.2017944306,-2.5630230904
2491,C(C(C(F)(Br)Cl)(F)(Cl)Br)(F)F,1341.8718975005,3.1277110577,0.565438807,-0.73825109,-0.2054843754,-3.122931242
50,C(C(F)(F)Br)(Br)(Br)Br,1343.656536046,3.128288269,0.7532088757,-0.6238721609,-0.0094504217,-3.5147252083
202,C(C(Br)(Br)Br)(F)(F)Br,1343.656536046,3.128288269,0.7532089353,-0.6238721609,-0.0094504217,-3.5147252083
1317,C(C(C(F)(F)Br)(F)(Br)Cl)F,1358.1095675716,3.1329348087,0.6452072263,-1.1044373512,0.1427812725,-2.0704128742
1137,C(C(C(F)(F)Cl)(Br)Br)F,1358.1103131455,3.1329350471,0.6452069879,-1.1044373512,0.1427813917,-2.0704128742
3464,C(C(C(Cl)(Cl)Cl)(F)Br)(F)(Cl)Br,1358.1110587198,3.1329352856,0.6452071071,-1.1044373512,0.1427813917,-2.0704128742
3465,C(C(C(Cl)(Cl)Cl)(F)Br)(F)(Br)Cl,1358.1110587198,3.1329352856,0.6452072263,-1.1044373512,0.1427812725,-2.0704128742
437,C(C(C(F)(F)F)(F)(F)Cl)F,1359.6030267106,3.1334121227,0.645386219,-1.1082391739,0.1632427126,-1.7968467474
3480,C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)(F)F,1359.6030267106,3.1334121227,0.645386219,-1.1082391739,0.1632427722,-1.7968467474
130,C(C(F)(Br)Br)(Br)(Br)Br,1373.7561535654,3.1379096508,0.5102639198,-0.7802160978,-0.0142530063,-3.6405730247
206,C(C(Br)(Br)Br)(F)(Br)Br,1373.7561535654,3.1379096508,0.5102639794,-0.7802160978,-0.0142530063,-3.6405730247
90,C(C(F)(Cl)Br)(Br)(Br)Br,1379.2907652024,3.1396558285,0.5809751153,-0.6052068472,-0.0039345482,-3.6333487034
110,C(C(F)(Br)Cl)(Br)(Br)Br,1379.2907652024,3.1396558285,0.5809751749,-0.6052069664,-0.0039346674,-3.6333489418
204,C(C(Br)(Br)Br)(F)(Cl)Br,1379.2907652024,3.1396558285,0.5809750557,-0.6052068472,-0.0039345482,-3.6333487034
205,C(C(Br)(Br)Br)(F)(Br)Cl,1379.2907652024,3.1396558285,0.5809750557,-0.6052069664,-0.0039346674,-3.6333489418
150,C(C(Cl)(Cl)Cl)(Br)(Br)Br,1391.7084053207,3.1435482502,0.5474706888,-0.5180922747,-0.0142552713,-3.5256934166
207,C(C(Br)(Br)Br)(Cl)(Cl)Cl,1391.7084053207,3.1435482502,0.5474706888,-0.5180922747,-0.0142552713,-3.5256934166
531,C(C(C(F)(F)F)(F)(Br)Br)(F)F,1421.9068024355,3.1528711319,0.7117484212,-0.5505182743,0.0156377703,-1.9254521132
2500,C(C(C(F)(Br)Cl)(F)(Br)Cl)(F)(F)F,1421.9068024355,3.1528711319,0.7117484212,-0.5505182743,0.0156377703,-1.9254519939
1570,C(C(C(F)(F)Br)Cl)(Br)(Br)Br,1422.5212650571,3.1530587673,0.8992331624,-0.6763564944,-0.0585191697,-4.2051377296
