,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol),refractive-index
0,2.352774328744983,0.3715802729129791,-0.7696998119354248,-1.0912030935287476,0.01839996874332428,-1.2161667346954346,1.386976957321167
1,6.0048516896043616,0.7785022854804993,-0.532958447933197,-0.5728799104690552,0.45662152767181396,-2.8872923851013184,1.2583686113357544
2,3.503322714871646,0.5444801449775696,-0.36289525032043457,-0.6971009373664856,0.5272142887115479,-3.50150203704834,1.426485300064087
3,0.7672512273814326,-0.1150624081492424,-1.1212502717971802,-1.0964272022247314,0.3467818796634674,-1.752747893333435,1.3325220346450806
4,0.3317809627854341,-0.4791485369205475,-1.1304049491882324,-1.1178910732269287,0.48445799946784973,-3.103530168533325,1.3894681930541992
5,0.3007067765258752,-0.5218567848205566,-1.0866204500198364,-1.1217982769012451,0.49016299843788147,-3.309812545776367,1.3952174186706543
6,0.18728328778955064,-0.7275009751319885,-2.0733799934387207,-1.1922460794448853,0.035754039883613586,-1.8688212633132935,1.2829798460006714
7,0.2537189139734633,-0.5956471562385559,-1.9433327913284302,-1.2283763885498047,-0.015518889762461185,-2.2656993865966797,1.3193567991256714
8,0.16669415467624749,-0.778079628944397,-1.9075261354446411,-1.1897104978561401,-0.02093811333179474,-2.598886489868164,1.3679128885269165
9,0.09341054859203145,-1.0296040773391724,-1.8680033683776855,-1.204199194908142,-0.0022362926974892616,-3.0769572257995605,1.3732091188430786
