,smiles,GWP100,LT,RE,lip,sol,GWP
5839,C(C(C(C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1745927334,0.7051742077,-0.7065176964,0.349904418,-4.7011256218,149.48331948
826,C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1746587753,0.4893407226,-0.6278104186,0.2575749159,-4.3476781845,149.5060527185
58,C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)Cl,2.1746633053,0.4198025465,-0.6151653528,0.0572426468,-3.3223152161,149.5076121648
10519,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)F)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.174672842,0.6899151802,-0.6802489161,0.3608971834,-4.8834586143,149.5108952628
5317,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1748015881,0.6239106059,-0.6734380722,0.3811817765,-4.6057605743,149.555224143
7864,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1749842167,0.6156292558,-0.6476200223,0.2870739698,-4.9472432137,149.6181280267
5308,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1749987602,0.672827661,-0.6816954613,0.3731127977,-4.6795868874,149.623138481
10033,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1750032902,0.7130814791,-0.6793757677,0.3774979115,-4.8598628044,149.6246991486
5767,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1750218868,0.6631086469,-0.6580263972,0.3759947419,-4.6632266045,149.6311062703
10807,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1750371456,0.7389110923,-0.654987216,0.3440054655,-4.9991159439,149.6363636007
5173,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1751220226,0.6914286017,-0.6766289473,0.3764945269,-4.6657214165,149.6656108729
7504,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1751439571,0.5786001682,-0.643807888,0.3737534285,-4.730512619,149.6731700862
