Name,Lifetime (yr),RE (W m-2 ppb-1),GWP 20-yr,GWP 100-yr,GWP 500-yr,GTP 20-yr,GTP 50-yr,GTP 100-yr
Nitrogen trifluoride,500,0.205,12779,16070,15977,13723,16504,18119
Sulphur hexafluoride,3200,0.567,17500,23507,31510,18904,23795,28215
(Trifluoromethyl)sulfur pentafluoride,800,0.592,13479,17449,19676,14512,17810,20232
Sulfuryl fluoride,36,0.201,6841,4095,1245,6695,4137,1647
"Perfluoromethane, tetrafluoromethane",50000,0.095,4875,6626,9407,5272,6689,8038
Perfluoroethane,10000,0.251,8211,11123,15544,8877,11237,13456
Perfluorocyclopropane,3000,0.228,6853,9198,12279,7402,9312,11031
Perfluoropropane,2600,0.277,6644,8900,11765,7176,9015,10654
Perfluorocyclobutane,3200,0.315,7106,9545,12794,7676,9661,11456
Perfluorobutane,2600,0.363,6870,9202,12164,7419,9321,11016
Perfluorocyclopentene,0.0849,0.076,7,2,1,2,0,0
Perfluoropentane,4100,0.405,6345,8547,11610,6856,8646,10284
Perfluorohexane,3100,0.442,5892,7912,10585,6365,8009,9493
Perfluoroheptane,3000,0.502,5828,7822,10442,6295,7919,9381
Perfluorodecalin (mixed),2000,0.553,5389,7185,9291,5818,7286,8565
Perfluorodecalin (cis),2000,0.557,5427,7236,9357,5859,7337,8626
Perfluorodecalin (trans),2000,0.484,4716,6288,8131,5091,6376,7496
Perfluoroethene,0.003,0.002,0,0,0,0,0,0
Perfluoropropene,0.0134,0.013,0,0,0,0,0,0
"Perfluorobuta-1,3-diene",0.003,0.003,0,0,0,0,0,0
Perfluorobut-1-ene,0.0164,0.018,0,0,0,0,0,0
Perfluorobut-2-ene,0.0849,0.068,6,2,1,2,0,0
(Difluoromethoxy)trifluoromethane,119,0.405,12409,12403,6128,13026,13207,10910
(Difluoromethoxy)difluoromethane,24.4,0.445,11636,5564,1613,10846,4898,1431
Trifluoro(methoxy)methane,4.8,0.177,1894,523,149,1016,108,73
"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",51.6,0.442,8903,6452,2149,8983,6849,3627
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",4.3,0.407,2123,583,166,1075,116,81
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",3.5,0.421,1799,491,140,822,93,68
"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",20.8,0.562,9712,4242,1219,8818,3399,912
"2-(Difluoromethoxy)-1,1,1,2-tetrafluoroethane",10.8,0.453,5554,1792,511,4279,753,260
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",7.5,0.357,3348,979,279,2238,273,138
"1,1,1,2,2-Pentafluoro-2-methoxy-ethane",4.9,0.326,2364,654,186,1282,136,91
"1,1-Difluoro-2-(trifluoromethoxy)ethane",6.6,0.306,2896,828,236,1825,206,116
"2-(Difluoromethoxy)-1,1,1-trifluoroethane",5.5,0.360,2908,812,232,1674,179,114
"2,2,3,3,3-Pentafluoropropan-1-ol",0.33,0.139,69,19,5,21,3,3
"1,1,2,2-Tetrafluoro-1-methoxyethane",2.5,0.258,1105,301,86,438,54,42
"1,1,1-Trifluoro-2-methoxyethane",0.063,0.039,5,1,0,1,0,0
"1,1,2,2-Tetrafluoro-1-(trifluoromethoxy)ethane",0.43,0.127,108,29,8,33,5,4
"3,3,3-Trifluoropropan-1-ol",0.033,0.022,1,0,0,0,0,0
"1,1,1,2,2-Pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",22.5,0.529,6718,3067,885,6182,2582,718
"2-(Difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",21.2,0.442,5938,2621,754,5409,2127,575
"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethoxy)ethane",7.5,0.439,3180,929,265,2125,259,131
"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",2.2,0.320,795,216,62,302,38,30
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",5,0.345,1914,530,151,1049,111,74
"1-(2,2-Difluoroethoxy)-1,1,2,2,2-pentafluoroethane",6.6,0.421,2987,854,243,1882,212,120
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",6,0.482,3152,889,254,1896,206,124
"1,1,1,2,3,3,3-Heptafluoro-2-methoxypropane",3.7,0.319,1330,363,104,624,69,51
"1,1,1,2,3,3-Hexafluoro-3-methoxypropane",3.8,0.301,1415,387,110,673,74,54
"1-(2,2-Difluoroethoxy)-1,1,2,2-tetrafluoroethane",5.7,0.373,2564,719,205,1503,162,101
"3-(Difluoromethoxy)-1,1,2,2-tetrafluoropropane",3.5,0.377,1635,446,127,747,84,62
"1,1,2,2,3,3-Hexafluoro-1-methoxypropane",3.8,0.322,1510,413,118,718,79,57
"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",0.266,0.151,50,14,4,15,2,2
"1,1,1,2,2-Pentafluoro-3-methoxypropane",0.053,0.047,3,1,0,1,0,0
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",0.59,0.264,215,58,17,66,10,8
"1-Ethoxy-1,1,2,2-tetrafluoroethane",5,0.298,2263,627,179,1240,132,88
"4,4,4-Trifluorobutan-1-ol",0.011,0.005,0,0,0,0,0,0
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",,0.380,,,,,,
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",0.3,0.160,47,13,4,14,2,2
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",13.5,1.018,8006,2817,804,6600,1533,436
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",4.7,0.364,1525,421,120,809,86,59
"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",0.8,0.305,209,57,16,66,10,8
Bis(difluoromethoxy)difluoromethane,25,0.653,11039,5353,1555,10327,4770,1417
"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",12.9,0.858,8427,2908,830,6859,1505,442
"1,1,1,3,3,3-Hexafluoropropan-2-ol",1.9,0.261,668,182,52,243,32,25
"1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane",12.9,1.245,7903,2727,778,6433,1411,415
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-Hexadecafluoro-2,5,8,11-tetraoxadodecane",12.9,1.763,8266,2853,814,6729,1476,434
(Difluoromethoxy)((difluoromethoxy)difluoromethoxy)difluoromethane,25,0.920,10936,5303,1540,10230,4725,1404
"1,1,3,3,5,5,7,7,8,8,10,10-Dodecafluoro-2,4,6,9-tetraoxadecane",13.5,1.715,11051,3888,1109,9110,2116,602
"1,1,3,3,5,5,7,7,9,9-Decafluoro-2,4,6,8-tetraoxanonane",25,1.652,15122,7333,2130,14146,6534,1941
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",0.75,0.281,223,61,17,70,10,8
"(2,2,2-Trifluoroethoxy)ethene",0.01,0.011,0,0,0,0,0,0
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",6.2,0.343,3077,871,248,1881,207,122
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",1,0.489,204,56,16,66,10,8
Fluoro(methoxy)methane,0.2,0.065,46,13,4,14,2,2
