,Name,smiles,Lifetime (yr),RE (W m-2 ppb-1),GWP 20-yr,GWP 100-yr,GWP 500-yr,GTP 20-yr,GTP 50-yr,GTP 100-yr
51,"(E)-1,3,3,3-Tetrafluoroprop-1-ene",C(=C/F)\C(F)(F)F,0.0449,0.039,4,1,0,1,0,0
52,"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",C(=C/C(F)(F)F)\C(F)(F)F,0.0603,0.074,6,2,0,2,0,0
53,"3,3,3-Trifluoroprop-1-ene",C=CC(F)(F)F,0.0192,0.012,1,0,0,0,0,0
54,"3,3,4,4,4-Pentafluorobut-1-ene",C=CC(C(F)(F)F)(F)F,0.0208,0.014,0,0,0,0,0,0
55,"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.0208,0.026,0,0,0,0,0,0
56,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0208,0.029,0,0,0,0,0,0
57,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",C=CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0208,0.032,0,0,0,0,0,0
58,"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,5,0.069,578,160,46,317,34,22
59,Perchloromethane,,26,0.17,3484,1728,504,3278,1569,479
59,Tetrachloromethane,,26,0.17,3484,1728,504,3278,1569,479
60,Chloromethane,CCl,1,0.01,45,12,3,15,2,2
61,Dichloromethane,C(Cl)Cl,0.3945,0.031,33,9,3,10,2,1
62,Trichloromethane,C(Cl)(Cl)Cl,0.4082,0.078,60,16,5,18,3,2
63,"1,2-Dichloroethane",C(CCl)Cl,0.1781,0.008,3,1,0,1,0,0
64,Bromomethane,CBr,0.8,0.005,9,2,1,3,0,0
65,Dibromomethane,C(Br)Br,0.337,0.009,4,1,0,1,0,0
66,Bromodifluoromethane,C(F)(F)Br,5.2,0.154,1352,376,107,756,80,52
67,Dibromodifluoromethane,C(F)(F)(Br)Br,2.9,0.272,848,231,66,356,42,32
68,Bromochlorodifluoromethane,C(F)(F)(Cl)Br,16,0.294,4590,1746,499,3950,1132,297
69,Bromotrifluoromethane,C(F)(F)(F)Br,65,0.298,7801,6292,2283,7986,6746,4168
70,"2-Bromo-1,1,1-trifluoroethane",C(C(F)(F)F)Br,3.4,0.135,635,173,49,286,33,24
71,"2-Bromo-2-chloro-1,1,1-trifluoroethane",C(C(F)(F)F)(Cl)Br,1,0.132,151,41,12,49,7,6
72,"2-Bromo-1,1,1,2-tetrafluoroethane",C(C(F)(F)F)(F)Br,2.9,0.186,674,184,52,283,34,25
73,"1,2-Dibromo-1,1,2,2-tetrafluoroethane",C(C(F)(F)Br)(F)(F)Br,20,0.313,3444,1472,423,3104,1148,304
74,Nitrogen trifluoride,N(F)(F)F,500,0.205,12779,16070,15977,13723,16504,18119
75,Sulphur hexafluoride,FS(F)(F)(F)(F)F,3200,0.567,17500,23507,31510,18904,23795,28215
76,Trifluoromethylsulfur pentafluoride,,800,0.592,13479,17449,19676,14512,17810,20232
77,Sulfuryl fluoride,O=S(=O)(F)F,36,0.201,6841,4095,1245,6695,4137,1647
78,Perfluoromethane,,50000,0.095,4875,6626,9407,5272,6689,8038
78,Tetrafluoromethane,,50000,0.095,4875,6626,9407,5272,6689,8038
79,Perfluoroethane,C(C(F)(F)F)(F)(F)F,10000,0.251,8211,11123,15544,8877,11237,13456
80,Perfluorocyclopropane,C1(C(C1(F)F)(F)F)(F)F,3000,0.228,6853,9198,12279,7402,9312,11031
81,Perfluoropropane,C(C(F)(F)F)(C(F)(F)F)(F)F,2600,0.277,6644,8900,11765,7176,9015,10654
82,Perfluorocyclobutane,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3200,0.315,7106,9545,12794,7676,9661,11456
83,Perfluorobutane,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,2600,0.363,6870,9202,12164,7419,9321,11016
84,Perfluorocyclopentene,C1(=C(C(C(C1(F)F)(F)F)(F)F)F)F,0.0849,0.076,7,2,1,2,0,0
85,Perfluoropentane,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,4100,0.405,6345,8547,11610,6856,8646,10284
86,Perfluorohexane,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,3100,0.442,5892,7912,10585,6365,8009,9493
87,Perfluoroheptane,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3000,0.502,5828,7822,10442,6295,7919,9381
88,Perfluorodecalin,,2000,0.553,5389,7185,9291,5818,7286,8565
89,cis-Perfluorodecalin,,2000,0.557,5427,7236,9357,5859,7337,8626
90,Trans-Perfluorodecalin,,2000,0.484,4716,6288,8131,5091,6376,7496
91,Perfluoroethene,C(=C(F)F)(F)F,0.003,0.002,0,0,0,0,0,0
92,Perfluoropropene,C(=C(F)F)(C(F)(F)F)F,0.0134,0.013,0,0,0,0,0,0
93,"Perfluorobuta-1,3-diene",C(=C(F)F)(C(=C(F)F)F)F,0.003,0.003,0,0,0,0,0,0
94,Perfluorobut-1-ene,,0.0164,0.018,0,0,0,0,0,0
95,Perfluorobut-2-ene,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.0849,0.068,6,2,1,2,0,0
96,(Difluoromethoxy)trifluoromethane,C(OC(F)(F)F)(F)F,119,0.405,12409,12403,6128,13026,13207,10910
97,(Difluoromethoxy)difluoromethane,C(OC(F)F)(F)F,24.4,0.445,11636,5564,1613,10846,4898,1431
98,Trifluoro(methoxy)methane,COC(F)(F)F,4.8,0.177,1894,523,149,1016,108,73
99,"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",C(C(F)(F)F)(OC(F)(F)F)F,51.6,0.442,8903,6452,2149,8983,6849,3627
100,"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",C(C(OC(F)F)(F)F)(F)Cl,4.3,0.407,2123,583,166,1075,116,81
101,"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",C(C(F)(F)F)(OC(F)F)Cl,3.5,0.421,1799,491,140,822,93,68
102,"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",C(C(OC(F)F)(F)F)(F)F,20.8,0.562,9712,4242,1219,8818,3399,912
103,"2-(Difluoromethoxy)-1,1,1,2-tetrafluoroethane",C(C(F)(F)F)(OC(F)F)F,10.8,0.453,5554,1792,511,4279,753,260
104,"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",C(C(F)(F)F)OC(F)(F)F,7.5,0.357,3348,979,279,2238,273,138
105,"1,1,1,2,2-Pentafluoro-2-methoxy-ethane",,4.9,0.326,2364,654,186,1282,136,91
106,"1,1-Difluoro-2-(trifluoromethoxy)ethane",C(C(F)F)OC(F)(F)F,6.6,0.306,2896,828,236,1825,206,116
107,"2-(Difluoromethoxy)-1,1,1-trifluoroethane",C(C(F)(F)F)OC(F)F,5.5,0.36,2908,812,232,1674,179,114
108,"2,2,3,3,3-Pentafluoropropan-1-ol",C(C(C(F)(F)F)(F)F)O,0.33,0.139,69,19,5,21,3,3
109,"1,1,2,2-Tetrafluoro-1-methoxyethane",COC(C(F)F)(F)F,2.5,0.258,1105,301,86,438,54,42
110,"1,1,1-Trifluoro-2-methoxyethane",COCC(F)(F)F,0.063,0.039,5,1,0,1,0,0
111,"1,1,2,2-Tetrafluoro-1-(trifluoromethoxy)ethane",C(C(OC(F)(F)F)(F)F)(F)F,0.43,0.127,108,29,8,33,5,4
112,"3,3,3-Trifluoropropan-1-ol",C(CO)C(F)(F)F,0.033,0.022,1,0,0,0,0,0
113,"1,1,1,2,2-Pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",,22.5,0.529,6718,3067,885,6182,2582,718
114,"2-(Difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",C(C(F)(F)F)(C(F)(F)F)OC(F)F,21.2,0.442,5938,2621,754,5409,2127,575
115,"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethoxy)ethane",C(C(F)(F)F)OC(C(F)(F)F)(F)F,7.5,0.439,3180,929,265,2125,259,131
116,"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",C(OC(C(F)(F)F)C(F)(F)F)F,2.2,0.32,795,216,62,302,38,30
117,"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",COC(C(C(F)(F)F)(F)F)(F)F,5,0.345,1914,530,151,1049,111,74
118,"1-(2,2-Difluoroethoxy)-1,1,2,2,2-pentafluoroethane",,6.6,0.421,2987,854,243,1882,212,120
119,"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",C(C(F)(F)F)OC(C(F)F)(F)F,6,0.482,3152,889,254,1896,206,124
120,"1,1,1,2,3,3,3-Heptafluoro-2-methoxypropane",COC(C(F)(F)F)(C(F)(F)F)F,3.7,0.319,1330,363,104,624,69,51
121,"1,1,1,2,3,3-Hexafluoro-3-methoxypropane",COC(C(C(F)(F)F)F)(F)F,3.8,0.301,1415,387,110,673,74,54
122,"1-(2,2-Difluoroethoxy)-1,1,2,2-tetrafluoroethane",,5.7,0.373,2564,719,205,1503,162,101
123,"3-(Difluoromethoxy)-1,1,2,2-tetrafluoropropane",C(C(C(F)F)(F)F)OC(F)F,3.5,0.377,1635,446,127,747,84,62
124,"1,1,2,2,3,3-Hexafluoro-1-methoxypropane",COC(C(C(F)F)(F)F)(F)F,3.8,0.322,1510,413,118,718,79,57
125,"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",COC(C(F)(F)F)C(F)(F)F,0.266,0.151,50,14,4,15,2,2
126,"1,1,1,2,2-Pentafluoro-3-methoxypropane",COCC(C(F)(F)F)(F)F,0.053,0.047,3,1,0,1,0,0
127,"1-Ethoxy-1,1,2,2,2-pentafluoroethane",CCOC(C(F)(F)F)(F)F,0.59,0.264,215,58,17,66,10,8
128,"1-Ethoxy-1,1,2,2-tetrafluoroethane",CCOC(C(F)F)(F)F,5,0.298,2263,627,179,1240,132,88
129,"4,4,4-Trifluorobutan-1-ol",C(CC(F)(F)F)CO,0.011,0.005,0,0,0,0,0,0
130,"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,,0.38,,,,,,
131,"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",,0.3,0.16,47,13,4,14,2,2
132,"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",,13.5,1.018,8006,2817,804,6600,1533,436
133,"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,4.7,0.364,1525,421,120,809,86,59
134,"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.8,0.305,209,57,16,66,10,8
135,Bis(difluoromethoxy)difluoromethane,C(OC(OC(F)F)(F)F)(F)F,25,0.653,11039,5353,1555,10327,4770,1417
136,"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",C(OC(C(OC(F)F)(F)F)(F)F)(F)F,12.9,0.858,8427,2908,830,6859,1505,442
137,"1,1,1,3,3,3-Hexafluoropropan-2-ol",C(C(F)(F)F)(C(F)(F)F)O,1.9,0.261,668,182,52,243,32,25
138,"1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane",,12.9,1.245,7903,2727,778,6433,1411,415
139,"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-Hexadecafluoro-2,5,8,11-tetraoxadodecane",C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,12.9,1.763,8266,2853,814,6729,1476,434
140,(Difluoromethoxy)((difluoromethoxy)difluoromethoxy)difluoromethane,,25,0.92,10936,5303,1540,10230,4725,1404
141,"1,1,3,3,5,5,7,7,8,8,10,10-Dodecafluoro-2,4,6,9-tetraoxadecane",C(OC(C(OC(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,13.5,1.715,11051,3888,1109,9110,2116,602
142,"1,1,3,3,5,5,7,7,9,9-Decafluoro-2,4,6,8-tetraoxanonane",,25,1.652,15122,7333,2130,14146,6534,1941
143,"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",CCOC(C(C(F)(F)F)(F)F)(F)F,0.75,0.281,223,61,17,70,10,8
144,"(2,2,2-Trifluoroethoxy)ethene",C=COCC(F)(F)F,0.01,0.011,0,0,0,0,0,0
