,0
0,C(C(F)(F)F)(F)F
1,C(C(F)(F)F)(F)Cl
2,C(C(F)(F)F)(F)Br
3,C(C(F)(F)F)(Cl)Cl
4,C(C(F)(F)F)(Cl)Br
5,C(C(F)(F)F)(Br)Br
6,C(C(F)(F)F)F
7,C(C(F)(F)F)Cl
8,C(C(F)(F)F)Br
9,C(C(F)(F)Cl)(F)F
10,C(C(F)(F)Cl)(F)Cl
11,C(C(F)(F)Cl)(F)Br
12,C(C(F)(F)Cl)(Cl)Cl
13,C(C(F)(F)Cl)(Cl)Br
14,C(C(F)(F)Cl)(Br)Br
15,C(C(F)(F)Cl)F
16,C(C(F)(F)Cl)Cl
17,C(C(F)(F)Cl)Br
18,C(C(F)(F)Br)(F)F
19,C(C(F)(F)Br)(F)Cl
20,C(C(F)(F)Br)(F)Br
21,C(C(F)(F)Br)(Cl)Cl
22,C(C(F)(F)Br)(Cl)Br
23,C(C(F)(F)Br)(Br)Br
24,C(C(F)(F)Br)F
25,C(C(F)(F)Br)Cl
26,C(C(F)(F)Br)Br
27,C(C(F)(Cl)Cl)(F)F
28,C(C(F)(Cl)Cl)(F)Cl
29,C(C(F)(Cl)Cl)(F)Br
30,C(C(F)(Cl)Cl)(Cl)Cl
31,C(C(F)(Cl)Cl)(Cl)Br
32,C(C(F)(Cl)Cl)(Br)Br
33,C(C(F)(Cl)Cl)F
34,C(C(F)(Cl)Cl)Cl
35,C(C(F)(Cl)Cl)Br
36,C(C(F)(Cl)Br)(F)F
37,C(C(F)(Cl)Br)(F)Cl
38,C(C(F)(Cl)Br)(F)Br
39,C(C(F)(Cl)Br)(Cl)Cl
40,C(C(F)(Cl)Br)(Cl)Br
41,C(C(F)(Cl)Br)(Br)Br
42,C(C(F)(Cl)Br)F
43,C(C(F)(Cl)Br)Cl
44,C(C(F)(Cl)Br)Br
45,C(C(F)(Br)Cl)(F)F
46,C(C(F)(Br)Cl)(F)Cl
47,C(C(F)(Br)Cl)(F)Br
48,C(C(F)(Br)Cl)(Cl)Cl
49,C(C(F)(Br)Cl)(Cl)Br
50,C(C(F)(Br)Cl)(Br)Br
51,C(C(F)(Br)Cl)F
52,C(C(F)(Br)Cl)Cl
53,C(C(F)(Br)Cl)Br
54,C(C(F)(Br)Br)(F)F
55,C(C(F)(Br)Br)(F)Cl
56,C(C(F)(Br)Br)(F)Br
57,C(C(F)(Br)Br)(Cl)Cl
58,C(C(F)(Br)Br)(Cl)Br
59,C(C(F)(Br)Br)(Br)Br
60,C(C(F)(Br)Br)F
61,C(C(F)(Br)Br)Cl
62,C(C(F)(Br)Br)Br
63,C(C(Cl)(Cl)Cl)(F)F
64,C(C(Cl)(Cl)Cl)(F)Cl
65,C(C(Cl)(Cl)Cl)(F)Br
66,C(C(Cl)(Cl)Cl)(Cl)Cl
67,C(C(Cl)(Cl)Cl)(Cl)Br
68,C(C(Cl)(Cl)Cl)(Br)Br
69,C(C(Cl)(Cl)Cl)F
70,C(C(Cl)(Cl)Cl)Cl
71,C(C(Cl)(Cl)Cl)Br
72,C(C(Cl)(Cl)Br)(F)F
73,C(C(Cl)(Cl)Br)(F)Cl
74,C(C(Cl)(Cl)Br)(F)Br
75,C(C(Cl)(Cl)Br)(Cl)Cl
76,C(C(Cl)(Cl)Br)(Cl)Br
77,C(C(Cl)(Cl)Br)(Br)Br
78,C(C(Cl)(Cl)Br)F
79,C(C(Cl)(Cl)Br)Cl
80,C(C(Cl)(Cl)Br)Br
81,C(C(Cl)(Br)Br)(F)F
82,C(C(Cl)(Br)Br)(F)Cl
83,C(C(Cl)(Br)Br)(F)Br
84,C(C(Cl)(Br)Br)(Cl)Cl
85,C(C(Cl)(Br)Br)(Cl)Br
86,C(C(Cl)(Br)Br)(Br)Br
87,C(C(Cl)(Br)Br)F
88,C(C(Cl)(Br)Br)Cl
89,C(C(Cl)(Br)Br)Br
90,C(C(Br)(Br)Br)(F)F
91,C(C(Br)(Br)Br)(F)Cl
92,C(C(Br)(Br)Br)(F)Br
93,C(C(Br)(Br)Br)(Cl)Cl
94,C(C(Br)(Br)Br)(Cl)Br
95,C(C(Br)(Br)Br)(Br)Br
96,C(C(Br)(Br)Br)F
97,C(C(Br)(Br)Br)Cl
98,C(C(Br)(Br)Br)Br
99,C(C(F)F)(F)F
100,C(C(F)F)(F)Cl
101,C(C(F)F)(F)Br
102,C(C(F)F)(Cl)Cl
103,C(C(F)F)(Cl)Br
104,C(C(F)F)(Br)Br
105,C(C(F)F)F
106,C(C(F)F)Cl
107,C(C(F)F)Br
108,C(C(F)Cl)(F)F
109,C(C(F)Cl)(F)Cl
110,C(C(F)Cl)(F)Br
111,C(C(F)Cl)(Cl)Cl
112,C(C(F)Cl)(Cl)Br
113,C(C(F)Cl)(Br)Br
114,C(C(F)Cl)F
115,C(C(F)Cl)Cl
116,C(C(F)Cl)Br
117,C(C(F)Br)(F)F
118,C(C(F)Br)(F)Cl
119,C(C(F)Br)(F)Br
120,C(C(F)Br)(Cl)Cl
121,C(C(F)Br)(Cl)Br
122,C(C(F)Br)(Br)Br
123,C(C(F)Br)F
124,C(C(F)Br)Cl
125,C(C(F)Br)Br
126,C(C(Cl)Cl)(F)F
127,C(C(Cl)Cl)(F)Cl
128,C(C(Cl)Cl)(F)Br
129,C(C(Cl)Cl)(Cl)Cl
130,C(C(Cl)Cl)(Cl)Br
131,C(C(Cl)Cl)(Br)Br
132,C(C(Cl)Cl)F
133,C(C(Cl)Cl)Cl
134,C(C(Cl)Cl)Br
135,C(C(Cl)Br)(F)F
136,C(C(Cl)Br)(F)Cl
137,C(C(Cl)Br)(F)Br
138,C(C(Cl)Br)(Cl)Cl
139,C(C(Cl)Br)(Cl)Br
140,C(C(Cl)Br)(Br)Br
141,C(C(Cl)Br)F
142,C(C(Cl)Br)Cl
143,C(C(Cl)Br)Br
144,C(C(Br)Br)(F)F
145,C(C(Br)Br)(F)Cl
146,C(C(Br)Br)(F)Br
147,C(C(Br)Br)(Cl)Cl
148,C(C(Br)Br)(Cl)Br
149,C(C(Br)Br)(Br)Br
150,C(C(Br)Br)F
151,C(C(Br)Br)Cl
152,C(C(Br)Br)Br
153,C(CF)(F)F
154,C(CF)(F)Cl
155,C(CF)(F)Br
156,C(CF)(Cl)Cl
157,C(CF)(Cl)Br
158,C(CF)(Br)Br
159,C(CF)F
160,C(CF)Cl
161,C(CF)Br
162,C(CCl)(F)F
163,C(CCl)(F)Cl
164,C(CCl)(F)Br
165,C(CCl)(Cl)Cl
166,C(CCl)(Cl)Br
167,C(CCl)(Br)Br
168,C(CCl)F
169,C(CCl)Cl
170,C(CCl)Br
171,C(CBr)(F)F
172,C(CBr)(F)Cl
173,C(CBr)(F)Br
174,C(CBr)(Cl)Cl
175,C(CBr)(Cl)Br
176,C(CBr)(Br)Br
177,C(CBr)F
178,C(CBr)Cl
179,C(CBr)Br
180,C(C(C(F)(F)F)(F)F)(F)F
181,C(C(C(F)(F)F)(F)F)(F)Cl
182,C(C(C(F)(F)F)(F)F)(F)Br
183,C(C(C(F)(F)F)(F)F)(Cl)Cl
184,C(C(C(F)(F)F)(F)F)(Cl)Br
185,C(C(C(F)(F)F)(F)F)(Br)Br
186,C(C(C(F)(F)F)(F)F)F
187,C(C(C(F)(F)F)(F)F)Cl
188,C(C(C(F)(F)F)(F)F)Br
189,C(C(C(F)(F)F)(F)Cl)(F)F
