,0
127,C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)F
128,C(C(C(F)(Cl)Cl)(Cl)Cl)F
129,C(C(C(F)(Cl)Cl)(Cl)Cl)Cl
130,C(C(C(F)(Cl)Cl)(Cl)F)(F)F
131,C(C(C(F)(Cl)Cl)(Cl)F)(Cl)Cl
132,C(C(C(F)(Cl)Cl)(Cl)F)(Cl)F
133,C(C(C(F)(Cl)Cl)(Cl)F)F
134,C(C(C(F)(Cl)Cl)(Cl)F)Cl
135,C(C(C(F)(Cl)Cl)F)(F)F
136,C(C(C(F)(Cl)Cl)F)(Cl)Cl
137,C(C(C(F)(Cl)Cl)F)(Cl)F
138,C(C(C(F)(Cl)Cl)F)F
139,C(C(C(F)(Cl)Cl)F)Cl
140,C(C(C(F)(Cl)Cl)Cl)(F)F
141,C(C(C(F)(Cl)Cl)Cl)(Cl)Cl
142,C(C(C(F)(Cl)Cl)Cl)(Cl)F
143,C(C(C(F)(Cl)Cl)Cl)F
144,C(C(C(F)(Cl)Cl)Cl)Cl
145,C(C(C(F)F)(F)F)(F)F
146,C(C(C(F)F)(F)F)(Cl)Cl
147,C(C(C(F)F)(F)F)(Cl)F
148,C(C(C(F)F)(F)F)F
149,C(C(C(F)F)(F)F)Cl
150,C(C(C(F)F)(Cl)Cl)(F)F
151,C(C(C(F)F)(Cl)Cl)(Cl)Cl
152,C(C(C(F)F)(Cl)Cl)(Cl)F
153,C(C(C(F)F)(Cl)Cl)F
154,C(C(C(F)F)(Cl)Cl)Cl
155,C(C(C(F)F)(Cl)F)(F)F
156,C(C(C(F)F)(Cl)F)(Cl)Cl
157,C(C(C(F)F)(Cl)F)(Cl)F
158,C(C(C(F)F)(Cl)F)F
159,C(C(C(F)F)(Cl)F)Cl
160,C(C(C(F)F)F)(F)F
161,C(C(C(F)F)F)(Cl)Cl
162,C(C(C(F)F)F)(Cl)F
163,C(C(C(F)F)F)F
164,C(C(C(F)F)F)Cl
165,C(C(C(F)F)Cl)(F)F
166,C(C(C(F)F)Cl)(Cl)Cl
167,C(C(C(F)F)Cl)(Cl)F
168,C(C(C(F)F)Cl)F
169,C(C(C(F)F)Cl)Cl
170,C(C(C(Cl)Cl)(F)F)(F)F
171,C(C(C(Cl)Cl)(F)F)(Cl)Cl
172,C(C(C(Cl)Cl)(F)F)(Cl)F
173,C(C(C(Cl)Cl)(F)F)F
174,C(C(C(Cl)Cl)(F)F)Cl
175,C(C(C(Cl)Cl)(Cl)Cl)(F)F
176,C(C(C(Cl)Cl)(Cl)Cl)(Cl)Cl
177,C(C(C(Cl)Cl)(Cl)Cl)(Cl)F
178,C(C(C(Cl)Cl)(Cl)Cl)F
179,C(C(C(Cl)Cl)(Cl)Cl)Cl
180,C(C(C(Cl)Cl)(Cl)F)(F)F
181,C(C(C(Cl)Cl)(Cl)F)(Cl)Cl
182,C(C(C(Cl)Cl)(Cl)F)(Cl)F
183,C(C(C(Cl)Cl)(Cl)F)F
184,C(C(C(Cl)Cl)(Cl)F)Cl
185,C(C(C(Cl)Cl)F)(F)F
186,C(C(C(Cl)Cl)F)(Cl)Cl
187,C(C(C(Cl)Cl)F)(Cl)F
188,C(C(C(Cl)Cl)F)F
189,C(C(C(Cl)Cl)F)Cl
190,C(C(C(Cl)Cl)Cl)(F)F
191,C(C(C(Cl)Cl)Cl)(Cl)Cl
192,C(C(C(Cl)Cl)Cl)(Cl)F
193,C(C(C(Cl)Cl)Cl)F
194,C(C(C(Cl)Cl)Cl)Cl
195,C(C(C(Cl)F)(F)F)(F)F
196,C(C(C(Cl)F)(F)F)(Cl)Cl
197,C(C(C(Cl)F)(F)F)(Cl)F
198,C(C(C(Cl)F)(F)F)F
199,C(C(C(Cl)F)(F)F)Cl
200,C(C(C(Cl)F)(Cl)Cl)(F)F
201,C(C(C(Cl)F)(Cl)Cl)(Cl)Cl
202,C(C(C(Cl)F)(Cl)Cl)(Cl)F
203,C(C(C(Cl)F)(Cl)Cl)F
204,C(C(C(Cl)F)(Cl)Cl)Cl
