,smiles,GWP,name
0,C(C(F)(F)F)(F)F,,
1,C(C(F)(F)F)(Cl)Cl,,
2,C(C(F)(F)F)(Cl)F,,
3,C(C(F)(F)F)F,,
4,C(C(F)(F)F)Cl,,
5,C(C(Cl)(Cl)Cl)(F)F,,
6,C(C(Cl)(Cl)Cl)(Cl)Cl,,
7,C(C(Cl)(Cl)Cl)(Cl)F,,
8,C(C(Cl)(Cl)Cl)F,,
9,C(C(Cl)(Cl)Cl)Cl,,
10,C(C(F)(F)Cl)(F)F,,
11,C(C(F)(F)Cl)(Cl)Cl,,
12,C(C(F)(F)Cl)(Cl)F,,
13,C(C(F)(F)Cl)F,,
14,C(C(F)(F)Cl)Cl,,
15,C(C(F)(Cl)Cl)(F)F,,
16,C(C(F)(Cl)Cl)(Cl)Cl,,
17,C(C(F)(Cl)Cl)(Cl)F,,
18,C(C(F)(Cl)Cl)F,,
19,C(C(F)(Cl)Cl)Cl,,
20,C(C(F)F)(F)F,,
21,C(C(F)F)(Cl)Cl,,
22,C(C(F)F)(Cl)F,,
23,C(C(F)F)F,,
24,C(C(F)F)Cl,,
25,C(C(Cl)Cl)(F)F,,
26,C(C(Cl)Cl)(Cl)Cl,,
27,C(C(Cl)Cl)(Cl)F,,
28,C(C(Cl)Cl)F,,
29,C(C(Cl)Cl)Cl,,
30,C(C(Cl)F)(F)F,,
31,C(C(Cl)F)(Cl)Cl,,
32,C(C(Cl)F)(Cl)F,,
33,C(C(Cl)F)F,,
34,C(C(Cl)F)Cl,,
35,C(CF)(F)F,,
36,C(CF)(Cl)Cl,,
37,C(CF)(Cl)F,,
38,C(CF)F,,
39,C(CF)Cl,,
40,C(CCl)(F)F,,
41,C(CCl)(Cl)Cl,,
42,C(CCl)(Cl)F,,
43,C(CCl)F,,
44,C(CCl)Cl,,
