Name,,GTP 100-yr
"2-(Difluoromethoxy)-1,1,1,2-tetrafluoroethane",,260
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",,138
"1,1,1,2,2-Pentafluoro-2-methoxy-ethane",,91
"1,1-Difluoro-2-(trifluoromethoxy)ethane",,116
"2-(Difluoromethoxy)-1,1,1-trifluoroethane",,114
"2,2,3,3,3-Pentafluoropropan-1-ol",,3
"1,1,2,2-Tetrafluoro-1-methoxyethane",,42
"1,1,1-Trifluoro-2-methoxyethane",,0
"1,1,2,2-Tetrafluoro-1-(trifluoromethoxy)ethane",,4
"3,3,3-Trifluoropropan-1-ol",,0
"1,1,1,2,2-Pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",,718
"2-(Difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",,575
"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethoxy)ethane",,131
"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",,30
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",,74
"1-(2,2-Difluoroethoxy)-1,1,2,2,2-pentafluoroethane",,120
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",,124
"1,1,1,2,3,3,3-Heptafluoro-2-methoxypropane",,51
"1,1,1,2,3,3-Hexafluoro-3-methoxypropane",,54
"1-(2,2-Difluoroethoxy)-1,1,2,2-tetrafluoroethane",,101
"3-(Difluoromethoxy)-1,1,2,2-tetrafluoropropane",,62
"1,1,2,2,3,3-Hexafluoro-1-methoxypropane",,57
"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",,2
"1,1,1,2,2-Pentafluoro-3-methoxypropane",,0
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",,8
"1-Ethoxy-1,1,2,2-tetrafluoroethane",,88
"4,4,4-Trifluorobutan-1-ol",,0
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",,
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",,2
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",,436
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",,59
"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",,8
Bis(difluoromethoxy)difluoromethane,,1417
"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,442
"1,1,1,3,3,3-Hexafluoropropan-2-ol",,25
"1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane",,415
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-Hexadecafluoro-2,5,8,11-tetraoxadodecane",,434
(Difluoromethoxy)((difluoromethoxy)difluoromethoxy)difluoromethane,,1404
"1,1,3,3,5,5,7,7,8,8,10,10-Dodecafluoro-2,4,6,9-tetraoxadecane",,602
"1,1,3,3,5,5,7,7,9,9-Decafluoro-2,4,6,8-tetraoxanonane",,1941
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",,8
"(2,2,2-Trifluoroethoxy)ethene",,0
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",,122
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",,8
Fluoro(methoxy)methane,,2
Difluoro(methoxy)methane,,20
Fluoro(fluoromethoxy)methane,,18
Difluoro(fluoromethoxy)methane,,86
Trifluoro(fluoromethoxy)methane,,105
"1,1,2,2-Tetrafluoro-1,2-dimethoxyethane",,31
"1,1,2,2-Tetrafluoro-1-methoxy-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethane",,33
"3,3,4,4,6,6,7,7,9,9,10,10-Dodecafluoro-2,5,8,11-tetraoxadodecane",,31
Difluorodimethoxymethane,,
"1,1,1,2,3,3-Hexafluoro-3-(trifluoromethoxy)propane",,2039
"1-(Difluoromethoxy)-1,1,2,3,3,3-hexafluoropropane",,
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",,0
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",,17
"1-(Difluoro(trifluoromethoxy)methoxy)-1,1,2,3,3,3-hexafluoro-2-(trifluoromethoxy)propane",,11254
"1,1,2-Trifluoro-2-(trifluoromethoxy)ethene",,0
Trifluoromethyl formate,,82
Perfluoroethyl formate,,81
Perfluoropropyl formate,,52
Perfluorobutyl formate,,54
"2,2,2-Trifluoroethyl formate",,5
"3,3,3-Trifluoropropyl formate",,2
"1,2,2,2-Tetrafluoroethyl formate",,65
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",,46
Perfluorobutyl acetate,,0
Perfluoropropyl acetate,,0
Perfluoroethyl acetate,,0
Trifluoromethyl acetate,,0
Methyl carbonofluoridate,,13
Fluoromethyl carbonofluoridate,,
Difluoromethyl carbonofluoridate,,
Trifluoromethyl carbonofluoridate,,
Perfluoroethyl carbonofluoridate,,
"2,2,2-Trifluoroethyl carbonofluoridate",,
"1,1-Difluoroethyl carbonofluoridate",,4
Perfluoropropyl carbonofluoridate,,
"Trifluoromethyl 2,2,2-trifluoroacetate",,
"Perfluoroethyl 2,2,2-trifluoroacetate",,
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",,4
"1,1,1,3,3,3-Hexafluoropropan-2-yl 2,2,2-trifluoroacetate",,
"Vinyl 2,2,2-trifluoroacetate",,
"Ethyl 2,2,2-trifluoroacetate",,0
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",,1
"Allyl 2,2,2-trifluoroacetate",,
"Methyl 2,2,2-trifluoroacetate",,7
"Phenyl 2,2,2-trifluoroacetate",,
Methyl 2-fluoroacetate,,
"Difluoromethyl 2,2-difluoroacetate",,
"Methyl 2,2-difluoroacetate",,0
"Difluoromethyl 2,2,2-trifluoroacetate",,4
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",,5
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",,178
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",,3
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",,4379
"2,2,3,3-Tetrafluoro-1-propanol",,2
"2,2,3,4,4,4-Hexafluoro-1-butanol",,2
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",,2
"1,1,2,2-Tetrafluoro-3-methoxy-propane",,0
"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone",,0
"3,3,3-Trifluoro-propanal",,0
"4,4,4-Trifluorobutanal",,
2-Fluoroethanol,,0
"2,2-Difluoroethanol",,0
"2,2,2-Trifluoroethanol",,3
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,1363
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",,1245
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",,1007
