Name,,GTP 100-yr
Trichlorofluoromethane,,2335
Dichlorodifluoromethane,,8448
Chlorotrifluoromethane,,15923
"1,1,2-Trichloro-1,2,2-trifluoroethane",,4474
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",,8553
"1-Chloro-1,1,2,2,2-pentafluoroethane",,8977
Dichlorofluoromethane,,20
Chlorodifluoromethane,,262
"1,1,2-Trichloro-2,2-difluoroethane",,8
"1,1,2-Trichloro-1,2-difluoroethane",,36
"2,2-Dichloro-1,1,1-trifluoroethane",,11
"1,2-Dichloro-1,1,2-trifluoroethane",,51
"2-Chloro-1,1,1,2-tetrafluoroethane",,74
"1,1-Dichloro-1,2-difluoroethane",,47
"1,1-Dichloro-1-fluoroethane",,111
"1-Chloro-1,1-difluoroethane",,356
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",,18
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",,73
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",,0
Trifluoromethane,,12709
Difluoromethane,,94
Fluoromethane,,16
"1,1,1,2,2-Pentafluoroethane",,967
"1,1,2,2-Tetrafluoroethane",,160
"1,1,1,2-Tetrafluoroethane",,201
"1,1,2-Trifluoroethane",,46
"1,1,1-Trifluoroethane",,2505
"1,2-Difluoroethane",,2
"1,1-Difluoroethane",,19
Fluoroethane,,1
"1,1,1,2,2,3,3-Heptafluoropropane",,806
"1,1,1,2,3,3,3-Heptafluoropropane",,1460
"1,1,1,2,2,3-Hexafluoropropane",,185
"1,1,1,2,3,3-Hexafluoropropane",,195
"1,1,1,3,3,3-Hexafluoropropane",,8377
"1,1,2,2,3-Pentafluoropropane",,100
"1,1,1,2,2-Pentafluoropropane",,2409
"1,1,2,3,3-Pentafluoropropane",,33
"1,1,1,2,3-Pentafluoropropane",,40
"1,1,1,3,3-Pentafluoropropane",,121
"1,1,1-Trifluoropropane",,10
"2,2-Difluoropropane",,20
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",,725
"1,1,1,3,3-Pentafluorobutane",,114
"1,1,1,2,2,3,4,5,5,5-Decafluoropentane",,281
"1,1-Difluoroethene",,0
Fluoroethene,,0
"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",,0
"2,3,3,3-Tetrafluoroprop-1-ene",,0
"(E)-1,3,3,3-Tetrafluoroprop-1-ene",,0
"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",,0
"3,3,3-Trifluoroprop-1-ene",,0
"3,3,4,4,4-Pentafluorobut-1-ene",,0
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",,0
"1,1,1-Trichloroethane",,22
"Perchloromethane, tetrachloromethane",,479
Chloromethane,,2
Dichloromethane,,1
Trichloromethane,,2
"1,2-Dichloroethane",,0
Bromomethane,,0
Dibromomethane,,0
Bromodifluoromethane,,52
Dibromodifluoromethane,,32
Bromochlorodifluoromethane,,297
Bromotrifluoromethane,,4168
"2-Bromo-1,1,1-trifluoroethane",,24
"2-Bromo-2-chloro-1,1,1-trifluoroethane",,6
"2-Bromo-1,1,1,2-tetrafluoroethane",,25
"1,2-Dibromo-1,1,2,2-tetrafluoroethane",,304
Nitrogen trifluoride,,18119
Sulphur hexafluoride,,28215
(Trifluoromethyl)sulfur pentafluoride,,20232
Sulfuryl fluoride,,1647
"Perfluoromethane, tetrafluoromethane",,8038
Perfluoroethane,,13456
Perfluorocyclopropane,,11031
Perfluoropropane,,10654
Perfluorocyclobutane,,11456
Perfluorobutane,,11016
Perfluorocyclopentene,,0
Perfluoropentane,,10284
Perfluorohexane,,9493
Perfluoroheptane,,9381
Perfluorodecalin (mixed),,8565
Perfluorodecalin (cis),,8626
Perfluorodecalin (trans),,7496
Perfluoroethene,,0
Perfluoropropene,,0
"Perfluorobuta-1,3-diene",,0
Perfluorobut-1-ene,,0
Perfluorobut-2-ene,,0
(Difluoromethoxy)trifluoromethane,,10910
(Difluoromethoxy)difluoromethane,,1431
Trifluoro(methoxy)methane,,73
"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",,3627
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",,81
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",,68
"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",,912
