Name,,GWP 20-yr
"1,1,1,2,2-Pentafluoro-3-methoxypropane",,3
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",,215
"1-Ethoxy-1,1,2,2-tetrafluoroethane",,2263
"4,4,4-Trifluorobutan-1-ol",,0
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",,
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",,47
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",,8006
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",,1525
"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",,209
Bis(difluoromethoxy)difluoromethane,,11039
"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,8427
"1,1,1,3,3,3-Hexafluoropropan-2-ol",,668
"1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane",,7903
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-Hexadecafluoro-2,5,8,11-tetraoxadodecane",,8266
(Difluoromethoxy)((difluoromethoxy)difluoromethoxy)difluoromethane,,10936
"1,1,3,3,5,5,7,7,8,8,10,10-Dodecafluoro-2,4,6,9-tetraoxadecane",,11051
"1,1,3,3,5,5,7,7,9,9-Decafluoro-2,4,6,8-tetraoxanonane",,15122
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",,223
"(2,2,2-Trifluoroethoxy)ethene",,0
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",,3077
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",,204
Fluoro(methoxy)methane,,46
Difluoro(methoxy)methane,,528
Fluoro(fluoromethoxy)methane,,479
Difluoro(fluoromethoxy)methane,,2265
Trifluoro(fluoromethoxy)methane,,2733
"1,1,2,2-Tetrafluoro-1,2-dimethoxyethane",,815
"1,1,2,2-Tetrafluoro-1-methoxy-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethane",,868
"3,3,4,4,6,6,7,7,9,9,10,10-Dodecafluoro-2,5,8,11-tetraoxadodecane",,812
Difluorodimethoxymethane,,
"1,1,1,2,3,3-Hexafluoro-3-(trifluoromethoxy)propane",,7170
"1-(Difluoromethoxy)-1,1,2,3,3,3-hexafluoropropane",,
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",,2
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",,1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",,1
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",,449
"1-(Difluoro(trifluoromethoxy)methoxy)-1,1,2,3,3,3-hexafluoro-2-(trifluoromethoxy)propane",,7498
"1,1,2-Trifluoro-2-(trifluoromethoxy)ethene",,1
Trifluoromethyl formate,,2154
Perfluoroethyl formate,,2125
Perfluoropropyl formate,,1382
Perfluorobutyl formate,,1439
"2,2,2-Trifluoroethyl formate",,123
"3,3,3-Trifluoropropyl formate",,64
"1,2,2,2-Tetrafluoroethyl formate",,1724
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",,1221
Perfluorobutyl acetate,,6
Perfluoropropyl acetate,,6
Perfluoroethyl acetate,,8
Trifluoromethyl acetate,,8
Methyl carbonofluoridate,,350
Fluoromethyl carbonofluoridate,,
Difluoromethyl carbonofluoridate,,
Trifluoromethyl carbonofluoridate,,
Perfluoroethyl carbonofluoridate,,
"2,2,2-Trifluoroethyl carbonofluoridate",,
"1,1-Difluoroethyl carbonofluoridate",,99
Perfluoropropyl carbonofluoridate,,
"Trifluoromethyl 2,2,2-trifluoroacetate",,
"Perfluoroethyl 2,2,2-trifluoroacetate",,
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",,113
"1,1,1,3,3,3-Hexafluoropropan-2-yl 2,2,2-trifluoroacetate",,
"Vinyl 2,2,2-trifluoroacetate",,
"Ethyl 2,2,2-trifluoroacetate",,5
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",,25
"Allyl 2,2,2-trifluoroacetate",,
"Methyl 2,2,2-trifluoroacetate",,192
"Phenyl 2,2,2-trifluoroacetate",,
Methyl 2-fluoroacetate,,
"Difluoromethyl 2,2-difluoroacetate",,
"Methyl 2,2-difluoroacetate",,12
"Difluoromethyl 2,2,2-trifluoroacetate",,99
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",,124
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",,3972
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",,86
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",,7939
"2,2,3,3-Tetrafluoro-1-propanol",,48
"2,2,3,4,4,4-Hexafluoro-1-butanol",,63
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",,60
"1,1,2,2-Tetrafluoro-3-methoxy-propane",,2
"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone",,0
"3,3,3-Trifluoro-propanal",,0
"4,4,4-Trifluorobutanal",,
2-Fluoroethanol,,3
"2,2-Difluoroethanol",,11
"2,2,2-Trifluoroethanol",,73
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,9910
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",,9053
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",,7318
