Name,,GTP 20-yr
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",,0
"1,1,1-Trichloroethane",,317
"Perchloromethane, tetrachloromethane",,3278
Chloromethane,,15
Dichloromethane,,10
Trichloromethane,,18
"1,2-Dichloroethane",,1
Bromomethane,,3
Dibromomethane,,1
Bromodifluoromethane,,756
Dibromodifluoromethane,,356
Bromochlorodifluoromethane,,3950
Bromotrifluoromethane,,7986
"2-Bromo-1,1,1-trifluoroethane",,286
"2-Bromo-2-chloro-1,1,1-trifluoroethane",,49
"2-Bromo-1,1,1,2-tetrafluoroethane",,283
"1,2-Dibromo-1,1,2,2-tetrafluoroethane",,3104
Nitrogen trifluoride,,13723
Sulphur hexafluoride,,18904
(Trifluoromethyl)sulfur pentafluoride,,14512
Sulfuryl fluoride,,6695
"Perfluoromethane, tetrafluoromethane",,5272
Perfluoroethane,,8877
Perfluorocyclopropane,,7402
Perfluoropropane,,7176
Perfluorocyclobutane,,7676
Perfluorobutane,,7419
Perfluorocyclopentene,,2
Perfluoropentane,,6856
Perfluorohexane,,6365
Perfluoroheptane,,6295
Perfluorodecalin (mixed),,5818
Perfluorodecalin (cis),,5859
Perfluorodecalin (trans),,5091
Perfluoroethene,,0
Perfluoropropene,,0
"Perfluorobuta-1,3-diene",,0
Perfluorobut-1-ene,,0
Perfluorobut-2-ene,,2
(Difluoromethoxy)trifluoromethane,,13026
(Difluoromethoxy)difluoromethane,,10846
Trifluoro(methoxy)methane,,1016
"1,1,1,2-Tetrafluoro-2-(trifluoromethoxy)ethane",,8983
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",,1075
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",,822
"1-(Difluoromethoxy)-1,1,2,2-tetrafluoroethane",,8818
"2-(Difluoromethoxy)-1,1,1,2-tetrafluoroethane",,4279
"1,1,1-Trifluoro-2-(trifluoromethoxy)ethane",,2238
"1,1,1,2,2-Pentafluoro-2-methoxy-ethane",,1282
"1,1-Difluoro-2-(trifluoromethoxy)ethane",,1825
"2-(Difluoromethoxy)-1,1,1-trifluoroethane",,1674
"2,2,3,3,3-Pentafluoropropan-1-ol",,21
"1,1,2,2-Tetrafluoro-1-methoxyethane",,438
"1,1,1-Trifluoro-2-methoxyethane",,1
"1,1,2,2-Tetrafluoro-1-(trifluoromethoxy)ethane",,33
"3,3,3-Trifluoropropan-1-ol",,0
"1,1,1,2,2-Pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane",,6182
"2-(Difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",,5409
"1,1,1,2,2-Pentafluoro-2-(2,2,2-trifluoroethoxy)ethane",,2125
"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",,302
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",,1049
"1-(2,2-Difluoroethoxy)-1,1,2,2,2-pentafluoroethane",,1882
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",,1896
"1,1,1,2,3,3,3-Heptafluoro-2-methoxypropane",,624
"1,1,1,2,3,3-Hexafluoro-3-methoxypropane",,673
"1-(2,2-Difluoroethoxy)-1,1,2,2-tetrafluoroethane",,1503
"3-(Difluoromethoxy)-1,1,2,2-tetrafluoropropane",,747
"1,1,2,2,3,3-Hexafluoro-1-methoxypropane",,718
"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",,15
"1,1,1,2,2-Pentafluoro-3-methoxypropane",,1
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",,66
"1-Ethoxy-1,1,2,2-tetrafluoroethane",,1240
"4,4,4-Trifluorobutan-1-ol",,0
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",,
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",,14
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",,6600
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",,809
"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",,66
Bis(difluoromethoxy)difluoromethane,,10327
"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,6859
"1,1,1,3,3,3-Hexafluoropropan-2-ol",,243
"1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane",,6433
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-Hexadecafluoro-2,5,8,11-tetraoxadodecane",,6729
(Difluoromethoxy)((difluoromethoxy)difluoromethoxy)difluoromethane,,10230
"1,1,3,3,5,5,7,7,8,8,10,10-Dodecafluoro-2,4,6,9-tetraoxadecane",,9110
"1,1,3,3,5,5,7,7,9,9-Decafluoro-2,4,6,8-tetraoxanonane",,14146
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",,70
"(2,2,2-Trifluoroethoxy)ethene",,0
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",,1881
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",,66
Fluoro(methoxy)methane,,14
Difluoro(methoxy)methane,,173
Fluoro(fluoromethoxy)methane,,153
Difluoro(fluoromethoxy)methane,,1006
Trifluoro(fluoromethoxy)methane,,1401
"1,1,2,2-Tetrafluoro-1,2-dimethoxyethane",,301
"1,1,2,2-Tetrafluoro-1-methoxy-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethane",,320
"3,3,4,4,6,6,7,7,9,9,10,10-Dodecafluoro-2,5,8,11-tetraoxadodecane",,299
Difluorodimethoxymethane,,
"1,1,1,2,3,3-Hexafluoro-3-(trifluoromethoxy)propane",,7089
"1-(Difluoromethoxy)-1,1,2,3,3,3-hexafluoropropane",,
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",,0
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",,153
"1-(Difluoro(trifluoromethoxy)methoxy)-1,1,2,3,3,3-hexafluoro-2-(trifluoromethoxy)propane",,8073
"1,1,2-Trifluoro-2-(trifluoromethoxy)ethene",,0
Trifluoromethyl formate,,984
Perfluoroethyl formate,,971
Perfluoropropyl formate,,555
Perfluorobutyl formate,,613
"2,2,2-Trifluoroethyl formate",,37
"3,3,3-Trifluoropropyl formate",,19
"1,2,2,2-Tetrafluoroethyl formate",,755
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",,535
Perfluorobutyl acetate,,2
Perfluoropropyl acetate,,2
Perfluoroethyl acetate,,2
Trifluoromethyl acetate,,2
Methyl carbonofluoridate,,126
Fluoromethyl carbonofluoridate,,
Difluoromethyl carbonofluoridate,,
Trifluoromethyl carbonofluoridate,,
Perfluoroethyl carbonofluoridate,,
"2,2,2-Trifluoroethyl carbonofluoridate",,
"1,1-Difluoroethyl carbonofluoridate",,30
Perfluoropropyl carbonofluoridate,,
"Trifluoromethyl 2,2,2-trifluoroacetate",,
"Perfluoroethyl 2,2,2-trifluoroacetate",,
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",,34
"1,1,1,3,3,3-Hexafluoropropan-2-yl 2,2,2-trifluoroacetate",,
"Vinyl 2,2,2-trifluoroacetate",,
"Ethyl 2,2,2-trifluoroacetate",,1
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",,7
"Allyl 2,2,2-trifluoroacetate",,
"Methyl 2,2,2-trifluoroacetate",,60
"Phenyl 2,2,2-trifluoroacetate",,
Methyl 2-fluoroacetate,,
"Difluoromethyl 2,2-difluoroacetate",,
"Methyl 2,2-difluoroacetate",,4
"Difluoromethyl 2,2,2-trifluoroacetate",,30
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",,38
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",,2961
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",,26
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",,8141
"2,2,3,3-Tetrafluoro-1-propanol",,14
"2,2,3,4,4,4-Hexafluoro-1-butanol",,19
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",,18
"1,1,2,2-Tetrafluoro-3-methoxy-propane",,1
"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone",,0
"3,3,3-Trifluoro-propanal",,0
"4,4,4-Trifluorobutanal",,
2-Fluoroethanol,,1
"2,2-Difluoroethanol",,3
"2,2,2-Trifluoroethanol",,22
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,9323
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",,8517
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",,6885
