Name,,GTP 20-yr
Trichlorofluoromethane,,6889
Dichlorodifluoromethane,,11266
Chlorotrifluoromethane,,11683
"1,1,2-Trichloro-1,2,2-trifluoroethane",,6731
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",,8186
"1-Chloro-1,1,2,2,2-pentafluoroethane",,6314
Dichlorofluoromethane,,192
Chlorodifluoromethane,,4196
"1,1,2-Trichloro-2,2-difluoroethane",,70
"1,1,2-Trichloro-1,2-difluoroethane",,426
"2,2-Dichloro-1,1,1-trifluoroethane",,98
"1,2-Dichloro-1,1,2-trifluoroethane",,659
"2-Chloro-1,1,1,2-tetrafluoroethane",,1116
"1,1-Dichloro-1,2-difluoroethane",,624
"1,1-Dichloro-1-fluoroethane",,1853
"1-Chloro-1,1-difluoroethane",,4393
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",,170
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",,1112
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",,2
Trifluoromethane,,11524
Difluoromethane,,1362
Fluoromethane,,177
"1,1,1,2,2-Pentafluoroethane",,5797
"1,1,2,2-Tetrafluoroethane",,2656
"1,1,1,2-Tetrafluoroethane",,3053
"1,1,2-Trifluoroethane",,549
"1,1,1-Trifluoroethane",,6957
"1,2-Difluoroethane",,18
"1,1-Difluoroethane",,174
Fluoroethane,,4
"1,1,1,2,2,3,3-Heptafluoropropane",,4833
"1,1,1,2,3,3,3-Heptafluoropropane",,5283
"1,1,1,2,2,3-Hexafluoropropane",,2842
"1,1,1,2,3,3-Hexafluoropropane",,3187
"1,1,1,3,3,3-Hexafluoropropane",,7397
"1,1,2,2,3-Pentafluoropropane",,1570
"1,1,1,2,2-Pentafluoropropane",,6693
"1,1,2,3,3-Pentafluoropropane",,378
"1,1,1,2,3-Pentafluoropropane",,460
"1,1,1,3,3-Pentafluoropropane",,1974
"1,1,1-Trifluoropropane",,92
"2,2-Difluoropropane",,213
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",,4294
"1,1,1,3,3-Pentafluorobutane",,1893
"1,1,1,2,2,3,4,5,5,5-Decafluoropentane",,3718
"1,1-Difluoroethene",,0
Fluoroethene,,0
"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",,0
"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",,0
"2,3,3,3-Tetrafluoroprop-1-ene",,0
"(E)-1,3,3,3-Tetrafluoroprop-1-ene",,1
"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",,2
"3,3,3-Trifluoroprop-1-ene",,0
"3,3,4,4,4-Pentafluorobut-1-ene",,0
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",,0
