Name,,GTP 50-yr
"1-Ethoxy-1,1,2,2,2-pentafluoroethane",,10
"1-Ethoxy-1,1,2,2-tetrafluoroethane",,132
"4,4,4-Trifluorobutan-1-ol",,0
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)-2-propanol",,
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",,2
"1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1,1,2,2-tetrafluoroethane",,1533
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",,86
"1-Ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",,10
Bis(difluoromethoxy)difluoromethane,,4770
"1,2-Bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,1505
"1,1,1,3,3,3-Hexafluoropropan-2-ol",,32
"1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane",,1411
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-Hexadecafluoro-2,5,8,11-tetraoxadodecane",,1476
(Difluoromethoxy)((difluoromethoxy)difluoromethoxy)difluoromethane,,4725
"1,1,3,3,5,5,7,7,8,8,10,10-Dodecafluoro-2,4,6,9-tetraoxadecane",,2116
"1,1,3,3,5,5,7,7,9,9-Decafluoro-2,4,6,8-tetraoxanonane",,6534
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",,10
"(2,2,2-Trifluoroethoxy)ethene",,0
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",,207
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",,10
Fluoro(methoxy)methane,,2
Difluoro(methoxy)methane,,25
Fluoro(fluoromethoxy)methane,,22
Difluoro(fluoromethoxy)methane,,115
Trifluoro(fluoromethoxy)methane,,150
"1,1,2,2-Tetrafluoro-1,2-dimethoxyethane",,39
"1,1,2,2-Tetrafluoro-1-methoxy-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethane",,42
"3,3,4,4,6,6,7,7,9,9,10,10-Dodecafluoro-2,5,8,11-tetraoxadodecane",,39
Difluorodimethoxymethane,,
"1,1,1,2,3,3-Hexafluoro-3-(trifluoromethoxy)propane",,4692
"1-(Difluoromethoxy)-1,1,2,3,3,3-hexafluoropropane",,
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",,0
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",,0
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",,21
"1-(Difluoro(trifluoromethoxy)methoxy)-1,1,2,3,3,3-hexafluoro-2-(trifluoromethoxy)propane",,9907
"1,1,2-Trifluoro-2-(trifluoromethoxy)ethene",,0
Trifluoromethyl formate,,111
Perfluoroethyl formate,,110
Perfluoropropyl formate,,68
Perfluorobutyl formate,,72
"2,2,2-Trifluoroethyl formate",,6
"3,3,3-Trifluoropropyl formate",,3
"1,2,2,2-Tetrafluoroethyl formate",,87
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",,62
Perfluorobutyl acetate,,0
Perfluoropropyl acetate,,0
Perfluoroethyl acetate,,0
Trifluoromethyl acetate,,0
Methyl carbonofluoridate,,17
Fluoromethyl carbonofluoridate,,
Difluoromethyl carbonofluoridate,,
Trifluoromethyl carbonofluoridate,,
Perfluoroethyl carbonofluoridate,,
"2,2,2-Trifluoroethyl carbonofluoridate",,
"1,1-Difluoroethyl carbonofluoridate",,5
Perfluoropropyl carbonofluoridate,,
"Trifluoromethyl 2,2,2-trifluoroacetate",,
"Perfluoroethyl 2,2,2-trifluoroacetate",,
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",,5
"1,1,1,3,3,3-Hexafluoropropan-2-yl 2,2,2-trifluoroacetate",,
"Vinyl 2,2,2-trifluoroacetate",,
"Ethyl 2,2,2-trifluoroacetate",,0
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",,1
"Allyl 2,2,2-trifluoroacetate",,
"Methyl 2,2,2-trifluoroacetate",,9
"Phenyl 2,2,2-trifluoroacetate",,
Methyl 2-fluoroacetate,,
"Difluoromethyl 2,2-difluoroacetate",,
"Methyl 2,2-difluoroacetate",,1
"Difluoromethyl 2,2,2-trifluoroacetate",,5
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",,6
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",,467
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",,4
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",,6959
"2,2,3,3-Tetrafluoro-1-propanol",,2
"2,2,3,4,4,4-Hexafluoro-1-butanol",,3
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",,3
"1,1,2,2-Tetrafluoro-3-methoxy-propane",,0
"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone",,0
"3,3,3-Trifluoro-propanal",,0
"4,4,4-Trifluorobutanal",,
2-Fluoroethanol,,0
"2,2-Difluoroethanol",,1
"2,2,2-Trifluoroethanol",,3
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",,4462
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",,4077
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",,3295
